condition,stem_subset,n_samples,C_score,V_score,R_score,M_score
Pap,mneg,2,4.0845048796794226,3.4888039954315744,0.8239142871892005,5.454504048562406
Pap,mpos,2,3.879749310410823,3.2367565642009875,1.1400056252621298,5.47244946348727
SCC,mneg,2,4.152405189269974,3.381617814956911,1.1793986178569604,5.577702264103484
SCC,mpos,2,4.267887783808899,2.8837744616107175,2.0651210392913573,5.720060207024336
