dataset,condition,mean_score_Angio_bulk,mean_score_CSC_bulk,mean_score_TGFb_bulk,mean_score_mTOR_bulk,se_score_Angio_bulk,se_score_CSC_bulk,se_score_TGFb_bulk,se_score_mTOR_bulk,ci_lower_Angio_bulk,ci_lower_CSC_bulk,ci_lower_TGFb_bulk,ci_lower_mTOR_bulk,ci_upper_Angio_bulk,ci_upper_CSC_bulk,ci_upper_TGFb_bulk,ci_upper_mTOR_bulk
Bl6,Normal,-0.8162470073972896,-0.8614619375563097,-0.19273846988250076,-0.7049225126877289,0.03500936799069426,0.09962660502876841,0.15162809914102704,0.1535834985777431,-0.8848653686590504,-1.0567300834126958,-0.48992954419891377,-1.0059461699001053,-0.7476286461355288,-0.6661937916999237,0.10445260443391224,-0.4038988554753524
Bl6,SCC,0.40812350369864475,0.43073096877815475,0.09636923494125005,0.3524612563438645,0.2291870150222619,0.27325801917211595,0.29083002160730226,0.24204112240965261,-0.041083045744988556,-0.10485474879919254,-0.4736576074090624,-0.12193934357905462,0.8573300531422781,0.966316686355502,0.6663960772915625,0.8268618562667835
PAP_SCC,Papilloma,-0.3957107436700137,-0.41628476034045436,-0.3494865554457809,-0.3600867112621042,0.2876265033223912,0.2419075157087512,0.2069836785742092,0.27853075137564504,-0.9594586901819004,-0.8904234911296067,-0.755174565451231,-0.9060069839583684,0.16803720284187307,0.057853970448697944,0.056201454559669184,0.18583356143416013
PAP_SCC,SCC,0.39571074367001313,0.4162847603404546,0.34948655544578033,0.3600867112621041,0.29799212806925224,0.40365954493183565,0.12005279492512647,0.4011718881094885,-0.18835382734572126,-0.37488794772594325,0.11418307739253247,-0.42621018943249334,0.9797753146857475,1.2074574684068524,0.5847900334990281,1.1463836119567015
PDV,PDV_LeprKO,-0.355083100035454,-0.3042164450699823,-0.20748069832847668,-0.23468492676003289,0.1130530916628359,0.13392978460152233,0.09532793226565672,0.11095828802971508,-0.5766671596946124,-0.5667188228889661,-0.3943234455691639,-0.45216317129827444,-0.13349904037629565,-0.04171406725099852,-0.020637951087789513,-0.017206682221791336
PDV,PDV_WT,0.3550831000354537,0.3042164450699822,0.20748069832847654,0.23468492676003314,0.316099519405728,0.24859112682215884,0.28795828284516733,0.3282474518246169,-0.26447195799977324,-0.18302216350144912,-0.3569175360480514,-0.40868007881621593,0.9746381580706807,0.7914550536414136,0.7718789327050044,0.8780499323362823
