dataset,condition,C_target,A_target,T_target,M_target,Angio_bulk,CSC_bulk,TGFb_bulk,mTOR_bulk
Bl6,Normal,-0.9067698603579026,-0.8162470073972896,-0.19273846988250076,-0.7049225126877289,-0.8162470073972896,-0.9067698603579026,-0.19273846988250076,-0.7049225126877289
Bl6,SCC,0.45338493017895126,0.40812350369864475,0.09636923494125005,0.3524612563438645,0.40812350369864475,0.45338493017895126,0.09636923494125005,0.3524612563438645
PAP_SCC,Papilloma,-0.31935898909572813,-0.3957107436700137,-0.3494865554457809,-0.3600867112621042,-0.3957107436700137,-0.31935898909572813,-0.3494865554457809,-0.3600867112621042
PAP_SCC,SCC,0.31935898909572813,0.39571074367001313,0.34948655544578033,0.3600867112621041,0.39571074367001313,0.31935898909572813,0.34948655544578033,0.3600867112621041
PDV,PDV_LeprKO,-0.23294965153303038,-0.355083100035454,-0.20748069832847668,-0.23468492676003289,-0.355083100035454,-0.23294965153303038,-0.20748069832847668,-0.23468492676003289
PDV,PDV_WT,0.23294965153303046,0.3550831000354537,0.20748069832847654,0.23468492676003314,0.3550831000354537,0.23294965153303046,0.20748069832847654,0.23468492676003314
