dataset,condition,mean_TGFb_bulk,mean_mTOR_bulk,mean_Angio_bulk,mean_CSC_bulk
Bl6,Normal,-0.6844315614954541,-0.2256558373890905,-0.5888883593107974,-0.1641508329887183
Bl6,SCC,0.3422157807477279,0.11282791869454492,0.2944441796553989,0.08207541649435907
PAP_SCC,Papilloma,-0.3462640543661836,-0.46529733287665814,-0.2332700099848345,-0.1725017661827323
PAP_SCC,SCC,0.34626405436618346,0.46529733287665814,0.23327000998483524,0.17250176618273153
PDV,PDV_LeprKO,0.05781402417811628,-0.16210712829828341,-0.26108854802636094,0.2120286410329644
PDV,PDV_WT,-0.05781402417811632,0.16210712829828489,0.2610885480263618,-0.21202864103296631
