C,A,dC_dt,dA_dt,T_star,R_star,L_star,M_star,f_ras
0.8,0.025,-0.152217,0.94605,10.7917,0.625631,0.0416667,7.21456e-05,1
0.825,0.025,-0.158154,0.974325,11.125,0.630249,0.0416667,7.42989e-05,1
0.85,0.025,-0.164103,1.0026,11.4583,0.634529,0.0416667,7.63377e-05,1
0.875,0.025,-0.170064,1.03087,11.7917,0.638503,0.0416667,7.82679e-05,1
0.9,0.025,-0.176035,1.05915,12.125,0.642198,0.0416667,8.00951e-05,1
0.925,0.025,-0.182015,1.08742,12.4583,0.645638,0.0416667,8.1825e-05,1
0.95,0.025,-0.188003,1.1157,12.7917,0.648845,0.0416667,8.34631e-05,1
0.975,0.025,-0.193998,1.14397,13.125,0.65184,0.0416667,8.50146e-05,1
1,0.025,-0.2,1.17225,13.4583,0.65464,0.0416667,8.64845e-05,1
0,0.05,0.0300004,0.0325,0.25,0.00269495,0.0833333,3.97466e-13,1
0.025,0.05,0.0242553,0.06005,0.583333,0.0144305,0.0833333,3.26757e-10,1
0.05,0.05,0.01852,0.0876,0.916667,0.0346073,0.0833333,1.08085e-08,1
0.075,0.05,0.0127992,0.11515,1.25,0.0617796,0.0833333,1.09768e-07,1
0.1,0.05,0.00709694,0.1427,1.58333,0.0941974,0.0833333,5.93268e-07,1
0.125,0.05,0.00141633,0.17025,1.91667,0.130053,0.0833333,2.15563e-06,1
0.15,0.05,-0.0042405,0.1978,2.25,0.16768,0.0833333,5.9568e-06,1
0.175,0.05,-0.00987255,0.22535,2.58333,0.205677,0.0833333,1.34844e-05,1
0.2,0.05,-0.0154801,0.2529,2.91667,0.24296,0.0833333,2.62556e-05,1
0.225,0.05,-0.0210649,0.28045,3.25,0.278756,0.0833333,4.54957e-05,1
0.25,0.05,-0.02663,0.308,3.58333,0.312565,0.0833333,7.19143e-05,1
0.275,0.05,-0.0321796,0.33555,3.91667,0.344104,0.0833333,0.000105632,1
0.3,0.05,-0.037719,0.3631,4.25,0.373258,0.0833333,0.000146235,1
0.325,0.05,-0.0432539,0.39065,4.58333,0.400028,0.0833333,0.000192908,1
0.35,0.05,-0.0487904,0.4182,4.91667,0.424493,0.0833333,0.000244593,1
0.375,0.05,-0.0543344,0.44575,5.25,0.44678,0.0833333,0.000300127,1
0.4,0.05,-0.0598913,0.4733,5.58333,0.467041,0.0833333,0.000358361,1
0.425,0.05,-0.0654659,0.50085,5.91667,0.485441,0.0833333,0.000418228,1
0.45,0.05,-0.0710622,0.5284,6.25,0.502144,0.0833333,0.000478792,1
0.475,0.05,-0.0766833,0.55595,6.58333,0.517308,0.0833333,0.000539262,1
0.5,0.05,-0.0823313,0.5835,6.91667,0.531084,0.0833333,0.000598995,1
0.525,0.05,-0.0880075,0.61105,7.25,0.54361,0.0833333,0.00065749,1
0.55,0.05,-0.0937125,0.6386,7.58333,0.555013,0.0833333,0.000714363,1
0.575,0.05,-0.099446,0.66615,7.91667,0.565406,0.0833333,0.000769342,1
0.6,0.05,-0.105207,0.6937,8.25,0.574893,0.0833333,0.000822239,1
0.625,0.05,-0.110996,0.72125,8.58333,0.583567,0.0833333,0.000872939,1
0.65,0.05,-0.116809,0.7488,8.91667,0.591509,0.0833333,0.000921383,1
0.675,0.05,-0.122647,0.77635,9.25,0.598793,0.0833333,0.00096756,1
0.7,0.05,-0.128507,0.8039,9.58333,0.605486,0.0833333,0.00101149,1
0.725,0.05,-0.134387,0.83145,9.91667,0.611643,0.0833333,0.00105321,1
0.75,0.05,-0.140287,0.859,10.25,0.617319,0.0833333,0.0010928,1
0.775,0.05,-0.146203,0.88655,10.5833,0.622559,0.0833333,0.00113033,1
0.8,0.05,-0.152136,0.9141,10.9167,0.627404,0.0833333,0.00116587,1
0.825,0.05,-0.158082,0.94165,11.25,0.631892,0.0833333,0.00119954,1
0.85,0.05,-0.164041,0.9692,11.5833,0.636053,0.0833333,0.0012314,1
0.875,0.05,-0.170012,0.99675,11.9167,0.63992,0.0833333,0.00126157,1
0.9,0.05,-0.175993,1.0243,12.25,0.643516,0.0833333,0.00129013,1
0.925,0.05,-0.181983,1.05185,12.5833,0.646867,0.0833333,0.00131716,1
0.95,0.05,-0.187981,1.0794,12.9167,0.649992,0.0833333,0.00134276,1
0.975,0.05,-0.193987,1.10695,13.25,0.652912,0.0833333,0.00136701,1
1,0.05,-0.2,1.1345,13.5833,0.655643,0.0833333,0.00138998,1
0,0.075,0.0300014,0.02375,0.375,0.00603518,0.125,5.06082e-11,1
0.025,0.075,0.0242595,0.050575,0.708333,0.0210757,0.125,7.52635e-09,1
0.05,0.075,0.0185293,0.0774,1.04167,0.0440671,0.125,1.43853e-07,1
0.075,0.075,0.0128157,0.104225,1.375,0.0734198,0.125,1.10844e-06,1
0.1,0.075,0.00712265,0.13105,1.70833,0.107335,0.125,5.0631e-06,1
0.125,0.075,0.001454,0.157875,2.04167,0.144037,0.125,1.64191e-05,1
0.15,0.075,-0.00418728,0.1847,2.375,0.181951,0.125,4.18071e-05,1
0.175,0.075,-0.00979934,0.211525,2.70833,0.21979,0.125,8.90108e-05,1
0.2,0.075,-0.015382,0.23835,3.04167,0.25659,0.125,0.000165323,1
0.225,0.075,-0.020937,0.265175,3.375,0.291687,0.125,0.000276043,1
0.25,0.075,-0.026468,0.292,3.70833,0.324667,0.125,0.000423626,1
0.275,0.075,-0.0319805,0.318825,4.04167,0.355318,0.125,0.000607574,1
0.3,0.075,-0.0374811,0.34565,4.375,0.383573,0.125,0.000824905,1
0.325,0.075,-0.0429772,0.372475,4.70833,0.409466,0.125,0.0010709,1
0.35,0.075,-0.0484762,0.3993,5.04167,0.433098,0.125,0.00133991,1
0.375,0.075,-0.0539853,0.426125,5.375,0.454606,0.125,0.00162599,1
0.4,0.075,-0.0595109,0.45295,5.70833,0.47415,0.125,0.00192344,1
0.425,0.075,-0.0650586,0.479775,6.04167,0.491895,0.125,0.00222709,1
