C,A,dC_dt,dA_dt,T_star,R_star,L_star,M_star,f_ras
0.175,0.2,-0.00627473,0.1424,3.33333,0.287409,0.333333,0.0129494,1
0.2,0.2,-0.0102572,0.1656,3.66667,0.320669,0.333333,0.0198898,1
0.225,0.2,-0.0139548,0.1888,4,0.351617,0.333333,0.0284379,1
0.25,0.2,-0.0174609,0.212,4.33333,0.380172,0.333333,0.038363,1
0.275,0.2,-0.0208804,0.2352,4.66667,0.406356,0.333333,0.0493522,1
0.3,0.2,-0.0243147,0.2584,5,0.430263,0.333333,0.0610643,1
0.325,0.2,-0.0278525,0.2816,5.33333,0.452028,0.333333,0.0731712,1
0.35,0.2,-0.0315642,0.3048,5.66667,0.471809,0.333333,0.0853851,1
0.375,0.2,-0.0355008,0.328,6,0.489769,0.333333,0.097471,1
0.4,0.2,-0.0396958,0.3512,6.33333,0.506073,0.333333,0.109249,1
0.425,0.2,-0.0441675,0.3744,6.66667,0.520877,0.333333,0.120591,1
0.45,0.2,-0.0489221,0.3976,7,0.534328,0.333333,0.131412,1
0.475,0.2,-0.053957,0.4208,7.33333,0.546562,0.333333,0.141661,1
0.5,0.2,-0.0592633,0.444,7.66667,0.557702,0.333333,0.151316,1
0.525,0.2,-0.0648279,0.4672,8,0.567859,0.333333,0.160374,1
0.55,0.2,-0.0706351,0.4904,8.33333,0.577135,0.333333,0.168846,1
0.575,0.2,-0.0766682,0.5136,8.66667,0.585618,0.333333,0.176752,1
0.6,0.2,-0.0829097,0.5368,9,0.593389,0.333333,0.18412,1
0.625,0.2,-0.0893426,0.56,9.33333,0.60052,0.333333,0.190979,1
0.65,0.2,-0.0959505,0.5832,9.66667,0.607073,0.333333,0.197363,1
0.675,0.2,-0.102718,0.6064,10,0.613106,0.333333,0.203302,1
0.7,0.2,-0.10963,0.6296,10.3333,0.618668,0.333333,0.208829,1
0.725,0.2,-0.116674,0.6528,10.6667,0.623806,0.333333,0.213974,1
0.75,0.2,-0.123837,0.676,11,0.628558,0.333333,0.218766,1
0.775,0.2,-0.131107,0.6992,11.3333,0.632961,0.333333,0.223231,1
0.8,0.2,-0.138476,0.7224,11.6667,0.637047,0.333333,0.227397,1
0.825,0.2,-0.145933,0.7456,12,0.640843,0.333333,0.231285,1
0.85,0.2,-0.15347,0.7688,12.3333,0.644376,0.333333,0.234917,1
0.875,0.2,-0.16108,0.792,12.6667,0.647668,0.333333,0.238314,1
0.9,0.2,-0.168755,0.8152,13,0.650741,0.333333,0.241494,1
0.925,0.2,-0.17649,0.8384,13.3333,0.653612,0.333333,0.244473,1
0.95,0.2,-0.184279,0.8616,13.6667,0.656298,0.333333,0.247267,1
0.975,0.2,-0.192117,0.8848,14,0.658815,0.333333,0.249889,1
1,0.2,-0.2,0.908,14.3333,0.661175,0.333333,0.252354,1
0,0.225,0.030045,-0.02875,1.125,0.0508776,0.375,2.07033e-05,1
0.025,0.225,0.024372,-0.006275,1.45833,0.0815422,0.375,0.000136584,1
0.05,0.225,0.0188085,0.0162,1.79167,0.116315,0.375,0.00056517,1
0.075,0.225,0.0134619,0.038675,2.125,0.153458,0.375,0.0017099,1
0.1,0.225,0.00846881,0.06115,2.45833,0.19146,0.375,0.0041306,1
0.125,0.225,0.00395747,0.083625,2.79167,0.229118,0.375,0.00842531,1
0.15,0.225,6.91054e-06,0.1061,3.125,0.265544,0.375,0.0150741,1
0.175,0.225,-0.00337994,0.128575,3.45833,0.300142,0.375,0.0243134,1
0.2,0.225,-0.00627885,0.15105,3.79167,0.332553,0.375,0.0360863,1
0.225,0.225,-0.00882569,0.173525,4.125,0.362606,0.375,0.0500744,1
0.25,0.225,-0.0111871,0.196,4.45833,0.390265,0.375,0.0657834,1
0.275,0.225,-0.0135314,0.218475,4.79167,0.415581,0.375,0.0826443,1
0.3,0.225,-0.0160076,0.24095,5.125,0.438668,0.375,0.1001,1
0.325,0.225,-0.0187337,0.263425,5.45833,0.45967,0.375,0.117663,1
0.35,0.225,-0.0217935,0.2859,5.79167,0.478749,0.375,0.134941,1
0.375,0.225,-0.0252392,0.308375,6.125,0.496069,0.375,0.151647,1
0.4,0.225,-0.0290969,0.33085,6.45833,0.511792,0.375,0.167584,1
0.425,0.225,-0.0333723,0.353325,6.79167,0.526072,0.375,0.182633,1
0.45,0.225,-0.0380571,0.3758,7.125,0.539051,0.375,0.196736,1
0.475,0.225,-0.0431332,0.398275,7.45833,0.550861,0.375,0.209877,1
0.5,0.225,-0.0485769,0.42075,7.79167,0.56162,0.375,0.222074,1
0.525,0.225,-0.0543613,0.443225,8.125,0.571436,0.375,0.233362,1
0.55,0.225,-0.0604586,0.4657,8.45833,0.580404,0.375,0.24379,1
0.575,0.225,-0.0668414,0.488175,8.79167,0.588612,0.375,0.253413,1
0.6,0.225,-0.073483,0.51065,9.125,0.596135,0.375,0.26229,1
0.625,0.225,-0.0803585,0.533125,9.45833,0.603042,0.375,0.270476,1
0.65,0.225,-0.087445,0.5556,9.79167,0.609393,0.375,0.27803,1
0.675,0.225,-0.0947213,0.578075,10.125,0.615244,0.375,0.285003,1
0.7,0.225,-0.102168,0.60055,10.4583,0.620643,0.375,0.291446,1
0.725,0.225,-0.109768,0.623025,10.7917,0.625631,0.375,0.297404,1
0.75,0.225,-0.117506,0.6455,11.125,0.630249,0.375,0.30292,1
0.775,0.225,-0.125368,0.667975,11.4583,0.634529,0.375,0.308033,1
0.8,0.225,-0.13334,0.69045,11.7917,0.638503,0.375,0.312777,1
0.825,0.225,-0.141413,0.712925,12.125,0.642198,0.375,0.317184,1
0.85,0.225,-0.149575,0.7354,12.4583,0.645638,0.375,0.321284,1
0.875,0.225,-0.157819,0.757875,12.7917,0.648845,0.375,0.325102,1
0.9,0.225,-0.166135,0.78035,13.125,0.65184,0.375,0.328663,1
0.925,0.225,-0.174518,0.802825,13.4583,0.65464,0.375,0.331988,1
0.95,0.225,-0.18296,0.8253,13.7917,0.657261,0.375,0.335096,1
0.975,0.225,-0.191455,0.847775,14.125,0.659717,0.375,0.338006,1
1,0.225,-0.2,0.87025,14.4583,0.662023,0.375,0.340732,1
0,0.25,0.0300737,-0.0375,1.25,0.0617796,0.416667,6.85993e-05,1
0.025,0.25,0.0244633,-0.01575,1.58333,0.0941974,0.416667,0.000370621,1
0.05,0.25,0.0190633,0.006,1.91667,0.130053,0.416667,0.00134501,1
0.075,0.25,0.0140591,0.02775,2.25,0.16768,0.416667,0.00370578,1
0.1,0.25,0.00965993,0.0495,2.58333,0.205677,0.416667,0.00834,1
0.125,0.25,0.00603285,0.07125,2.91667,0.24296,0.416667,0.0160804,1
0.15,0.25,0.00324217,0.093,3.25,0.278756,0.416667,0.0274603,1
0.175,0.25,0.00122262,0.11475,3.58333,0.312565,0.416667,0.0425592,1
0.2,0.25,-0.000205569,0.1365,3.91667,0.344104,0.416667,0.0609944,1
0.225,0.25,-0.00129165,0.15825,4.25,0.373258,0.416667,0.0820391,1
0.25,0.25,-0.00230137,0.18,4.58333,0.400028,0.416667,0.104799,1
0.275,0.25,-0.0034741,0.20175,4.91667,0.424493,0.416667,0.128378,1
0.3,0.25,-0.00499813,0.2235,5.25,0.44678,0.416667,0.151997,1
0.325,0.25,-0.00700335,0.24525,5.58333,0.467041,0.416667,0.175046,1
0.35,0.25,-0.00956575,0.267,5.91667,0.485441,0.416667,0.197096,1
0.375,0.25,-0.0127176,0.28875,6.25,0.502144,0.416667,0.217877,1
0.4,0.25,-0.0164593,0.3105,6.58333,0.517308,0.416667,0.237247,1
0.425,0.25,-0.0207696,0.33225,6.91667,0.531084,0.416667,0.255158,1
0.45,0.25,-0.0256143,0.354,7.25,0.54361,0.416667,0.271628,1
0.475,0.25,-0.0309524,0.37575,7.58333,0.555013,0.416667,0.286717,1
0.5,0.25,-0.0367403,0.3975,7.91667,0.565406,0.416667,0.300508,1
0.525,0.25,-0.0429347,0.41925,8.25,0.574893,0.416667,0.313096,1
0.55,0.25,-0.0494941,0.441,8.58333,0.583567,0.416667,0.324582,1
0.575,0.25,-0.0563799,0.46275,8.91667,0.591509,0.416667,0.335062,1
0.6,0.25,-0.0635566,0.4845,9.25,0.598793,0.416667,0.344632,1
0.625,0.25,-0.0709925,0.50625,9.58333,0.605486,0.416667,0.353378,1
0.65,0.25,-0.0786587,0.528,9.91667,0.611643,0.416667,0.361381,1
0.675,0.25,-0.0865298,0.54975,10.25,0.617319,0.416667,0.368714,1
0.7,0.25,-0.094583,0.5715,10.5833,0.622559,0.416667,0.375443,1
0.725,0.25,-0.102798,0.59325,10.9167,0.627404,0.416667,0.381627,1
0.75,0.25,-0.111158,0.615,11.25,0.631892,0.416667,0.387319,1
0.775,0.25,-0.119646,0.63675,11.5833,0.636053,0.416667,0.392568,1
0.8,0.25,-0.128249,0.6585,11.9167,0.63992,0.416667,0.397415,1
0.825,0.25,-0.136955,0.68025,12.25,0.643516,0.416667,0.401899,1
0.85,0.25,-0.145753,0.702,12.5833,0.646867,0.416667,0.406053,1
0.875,0.25,-0.154632,0.72375,12.9167,0.649992,0.416667,0.409907,1
0.9,0.25,-0.163586,0.7455,13.25,0.652912,0.416667,0.41349,1
0.925,0.25,-0.172606,0.76725,13.5833,0.655643,0.416667,0.416824,1
0.95,0.25,-0.181685,0.789,13.9167,0.658201,0.416667,0.419932,1
0.975,0.25,-0.190818,0.81075,14.25,0.660599,0.416667,0.422834,1
1,0.25,-0.2,0.8325,14.5833,0.66285,0.416667,0.425546,1
0,0.275,0.0301307,-0.04625,1.375,0.0734198,0.458333,0.000200304,1
0.025,0.275,0.0246488,-0.025225,1.70833,0.107335,0.458333,0.000914131,1
0.05,0.275,0.0195595,-0.0042,2.04167,0.144037,0.458333,0.0029569,1
0.075,0.275,0.0151562,0.016825,2.375,0.181951,0.458333,0.00748644,1
0.1,0.275,0.0117264,0.03785,2.70833,0.21979,0.458333,0.0157735,1
0.125,0.275,0.00944578,0.058875,3.04167,0.25659,0.458333,0.0288123,1
0.15,0.275,0.00830166,0.0799,3.375,0.291687,0.458333,0.0469817,1
0.175,0.275,0.00808477,0.100925,3.70833,0.324667,0.458333,0.0699167,1
0.2,0.275,0.0084461,0.12195,4.04167,0.355318,0.458333,0.0966293,1
0.225,0.275,0.00898587,0.142975,4.375,0.383573,0.458333,0.125789,1
0.25,0.275,0.00933468,0.164,4.70833,0.409466,0.458333,0.156026,1
0.275,0.275,0.00920342,0.185025,5.04167,0.433098,0.458333,0.18615,1
0.3,0.275,0.00839937,0.20605,5.375,0.454606,0.458333,0.215259,1
0.325,0.275,0.0068184,0.227075,5.70833,0.47415,0.458333,0.242754,1
0.35,0.275,0.0044259,0.2481,6.04167,0.491895,0.458333,0.268296,1
0.375,0.275,0.00123553,0.269125,6.375,0.508002,0.458333,0.291744,1
0.4,0.275,-0.00270915,0.29015,6.70833,0.522629,0.458333,0.313094,1
0.425,0.275,-0.00734857,0.311175,7.04167,0.535921,0.458333,0.332432,1
0.45,0.275,-0.0126167,0.3322,7.375,0.548012,0.458333,0.349891,1
0.475,0.275,-0.018447,0.353225,7.70833,0.559023,0.458333,0.365626,1
0.5,0.275,-0.0247761,0.37425,8.04167,0.569065,0.458333,0.379802,1
0.525,0.275,-0.0315456,0.395275,8.375,0.578237,0.458333,0.392577,1
0.55,0.275,-0.0387027,0.4163,8.70833,0.586627,0.458333,0.4041,1
0.575,0.275,-0.0462003,0.437325,9.04167,0.594314,0.458333,0.414509,1
0.6,0.275,-0.0539971,0.45835,9.375,0.601369,0.458333,0.423928,1
0.625,0.275,-0.0620565,0.479375,9.70833,0.607854,0.458333,0.432466,1
0.65,0.275,-0.0703469,0.5004,10.0417,0.613826,0.458333,0.440222,1
0.675,0.275,-0.0788405,0.521425,10.375,0.619333,0.458333,0.447282,1
0.7,0.275,-0.0875131,0.54245,10.7083,0.62442,0.458333,0.453722,1
0.725,0.275,-0.0963438,0.563475,11.0417,0.629127,0.458333,0.459609,1
0.75,0.275,-0.105314,0.5845,11.375,0.633489,0.458333,0.465001,1
0.775,0.275,-0.114408,0.605525,11.7083,0.637536,0.458333,0.469952,1
0.8,0.275,-0.123612,0.62655,12.0417,0.641299,0.458333,0.474505,1
0.825,0.275,-0.132913,0.647575,12.375,0.6448,0.458333,0.478702,1
0.85,0.275,-0.142301,0.6686,12.7083,0.648064,0.458333,0.482577,1
0.875,0.275,-0.151767,0.689625,13.0417,0.65111,0.458333,0.486161,1
0.9,0.275,-0.161302,0.71065,13.375,0.653957,0.458333,0.489484,1
0.925,0.275,-0.170898,0.731675,13.7083,0.656622,0.458333,0.492568,1
0.95,0.275,-0.180551,0.7527,14.0417,0.659118,0.458333,0.495436,1
0.975,0.275,-0.190253,0.773725,14.375,0.66146,0.458333,0.498107,1
1,0.275,-0.2,0.79475,14.7083,0.663659,0.458333,0.500599,1
0,0.3,0.0302495,-0.055,1.5,0.0857012,0.5,0.000526456,1
0.025,0.3,0.0250199,-0.0347,1.83333,0.120862,0.5,0.00207838,1
0.05,0.3,0.0204877,-0.0144,2.16667,0.158189,0.5,0.0060687,1
0.075,0.3,0.0170765,0.0059,2.5,0.196208,0.5,0.014216,1
0.1,0.3,0.0151274,0.0262,2.83333,0.233754,0.5,0.0281312,1
0.125,0.3,0.0147479,0.0465,3.16667,0.269978,0.5,0.0487222,1
0.15,0.3,0.0157409,0.0668,3.5,0.304318,0.5,0.075817,1
0.175,0.3,0.0176552,0.0871,3.83333,0.33644,0.5,0.108199,1
0.2,0.3,0.019918,0.1074,4.16667,0.366194,0.5,0.143999,1
0.225,0.3,0.0219796,0.1277,4.5,0.393555,0.5,0.181208,1
0.25,0.3,0.0234091,0.148,4.83333,0.418586,0.5,0.218079,1
0.275,0.3,0.0239287,0.1683,5.16667,0.441404,0.5,0.253327,1
0.3,0.3,0.023401,0.1886,5.5,0.462157,0.5,0.286154,1
0.325,0.3,0.0217953,0.2089,5.83333,0.481006,0.5,0.316164,1
0.35,0.3,0.0191504,0.2292,6.16667,0.498118,0.5,0.343253,1
0.375,0.3,0.0155441,0.2495,6.5,0.513653,0.5,0.367508,1
0.4,0.3,0.0110719,0.2698,6.83333,0.527763,0.5,0.389118,1
0.425,0.3,0.00583291,0.2901,7.16667,0.540589,0.5,0.408324,1
0.45,0.3,-7.77267e-05,0.3104,7.5,0.552261,0.5,0.425381,1
0.475,0.3,-0.00657289,0.3307,7.83333,0.562897,0.5,0.440535,1
0.5,0.3,-0.0135749,0.351,8.16667,0.572601,0.5,0.454018,1
0.525,0.3,-0.0210159,0.3713,8.5,0.58147,0.5,0.466036,1
0.55,0.3,-0.0288367,0.3916,8.83333,0.589588,0.5,0.476773,1
0.575,0.3,-0.0369866,0.4119,9.16667,0.59703,0.5,0.48639,1
0.6,0.3,-0.0454221,0.4322,9.5,0.603865,0.5,0.495028,1
0.625,0.3,-0.0541057,0.4525,9.83333,0.610151,0.5,0.502806,1
0.65,0.3,-0.0630054,0.4728,10.1667,0.615943,0.5,0.50983,1
0.675,0.3,-0.0720938,0.4931,10.5,0.621288,0.5,0.51619,1
0.7,0.3,-0.0813472,0.5134,10.8333,0.626228,0.5,0.521964,1
0.725,0.3,-0.0907453,0.5337,11.1667,0.630801,0.5,0.527221,1
0.75,0.3,-0.100271,0.554,11.5,0.635042,0.5,0.532017,1
0.775,0.3,-0.109908,0.5743,11.8333,0.638979,0.5,0.536406,1
0.8,0.3,-0.119645,0.5946,12.1667,0.642641,0.5,0.540429,1
0.825,0.3,-0.129469,0.6149,12.5,0.646051,0.5,0.544127,1
0.85,0.3,-0.139371,0.6352,12.8333,0.649231,0.5,0.547533,1
0.875,0.3,-0.149342,0.6555,13.1667,0.6522,0.5,0.550677,1
0.9,0.3,-0.159374,0.6758,13.5,0.654977,0.5,0.553584,1
0.925,0.3,-0.169462,0.6961,13.8333,0.657577,0.5,0.556277,1
0.95,0.3,-0.179599,0.7164,14.1667,0.660014,0.5,0.558778,1
0.975,0.3,-0.189779,0.7367,14.5,0.662301,0.5,0.561103,1
1,0.3,-0.2,0.757,14.8333,0.66445,0.5,0.563268,1
0,0.325,0.0304958,-0.06375,1.625,0.0985276,0.541667,0.00126559,1
0.025,0.325,0.0257346,-0.044175,1.95833,0.134691,0.541667,0.00440257,1
0.05,0.325,0.0221437,-0.0246,2.29167,0.172434,0.541667,0.0117175,1
0.075,0.325,0.02027,-0.005025,2.625,0.210395,0.541667,0.0255161,1
0.1,0.325,0.0204258,0.01455,2.95833,0.247529,0.541667,0.0474974,1
0.125,0.325,0.0225078,0.034125,3.29167,0.283099,0.541667,0.0779762,1
0.15,0.325,0.0259908,0.0537,3.625,0.316635,0.541667,0.115656,1
0.175,0.325,0.0300987,0.073275,3.95833,0.347879,0.541667,0.158073,1
0.2,0.325,0.0340404,0.09285,4.29167,0.376733,0.541667,0.202398,1
0.225,0.325,0.037188,0.112425,4.625,0.40321,0.541667,0.24614,1
0.25,0.325,0.0391465,0.132,4.95833,0.427395,0.541667,0.287513,1
0.275,0.325,0.0397372,0.151575,5.29167,0.44942,0.541667,0.325479,1
0.3,0.325,0.0389396,0.17115,5.625,0.469439,0.541667,0.359602,1
0.325,0.325,0.0368307,0.190725,5.95833,0.487618,0.541667,0.389861,1
0.35,0.325,0.033536,0.2103,6.29167,0.50412,0.541667,0.416475,1
0.375,0.325,0.0291977,0.229875,6.625,0.519103,0.541667,0.439782,1
0.4,0.325,0.0239557,0.24945,6.95833,0.532716,0.541667,0.460163,1
0.425,0.325,0.017939,0.269025,7.29167,0.545095,0.541667,0.477989,1
0.45,0.325,0.0112611,0.2886,7.625,0.556365,0.541667,0.493605,1
0.475,0.325,0.00402007,0.308175,7.95833,0.56664,0.541667,0.507319,1
0.5,0.325,-0.00370053,0.32775,8.29167,0.57602,0.541667,0.519398,1
0.525,0.325,-0.0118302,0.347325,8.625,0.584598,0.541667,0.530073,1
0.55,0.325,-0.0203096,0.3669,8.95833,0.592454,0.541667,0.539538,1
0.575,0.325,-0.0290887,0.386475,9.29167,0.599661,0.541667,0.547961,1
0.6,0.325,-0.0381256,0.40605,9.625,0.606283,0.541667,0.555483,1
0.625,0.325,-0.0473847,0.425625,9.95833,0.612378,0.541667,0.562223,1
0.65,0.325,-0.0568361,0.4452,10.2917,0.617997,0.541667,0.568282,1
0.675,0.325,-0.0664545,0.464775,10.625,0.623186,0.541667,0.573748,1
0.7,0.325,-0.0762181,0.48435,10.9583,0.627984,0.541667,0.578693,1
0.725,0.325,-0.0861087,0.503925,11.2917,0.632429,0.541667,0.583181,1
0.75,0.325,-0.0961103,0.5235,11.625,0.636552,0.541667,0.587265,1
0.775,0.325,-0.10621,0.543075,11.9583,0.640383,0.541667,0.590992,1
0.8,0.325,-0.116395,0.56265,12.2917,0.643948,0.541667,0.594402,1
0.825,0.325,-0.126656,0.582225,12.625,0.647269,0.541667,0.59753,1
0.85,0.325,-0.136984,0.6018,12.9583,0.650368,0.541667,0.600405,1
0.875,0.325,-0.147372,0.621375,13.2917,0.653263,0.541667,0.603055,1
0.9,0.325,-0.157812,0.64095,13.625,0.655972,0.541667,0.605502,1
0.925,0.325,-0.1683,0.660525,13.9583,0.658509,0.541667,0.607766,1
0.95,0.325,-0.17883,0.6801,14.2917,0.660888,0.541667,0.609865,1
0.975,0.325,-0.189398,0.699675,14.625,0.663122,0.541667,0.611814,1
1,0.325,-0.2,0.71925,14.9583,0.665222,0.541667,0.613628,1
0,0.35,0.0309899,-0.0725,1.75,0.111805,0.583333,0.00281706,1
0.025,0.35,0.0270479,-0.05365,2.08333,0.14874,0.583333,0.00875815,1
0.05,0.35,0.0249533,-0.0348,2.41667,0.186707,0.583333,0.0213973,1
0.075,0.35,0.0253049,-0.01595,2.75,0.224463,0.583333,0.0434335,1
0.1,0.35,0.0282142,0.0029,3.08333,0.261081,0.583333,0.0760674,1
0.125,0.35,0.0331642,0.02175,3.41667,0.295931,0.583333,0.118246,1
0.15,0.35,0.0391715,0.0406,3.75,0.328628,0.583333,0.166971,1
0.175,0.35,0.0451383,0.05945,4.08333,0.358981,0.583333,0.21842,1
0.2,0.35,0.0501648,0.0783,4.41667,0.386937,0.583333,0.269124,1
0.225,0.35,0.0536909,0.09715,4.75,0.412541,0.583333,0.316628,1
0.25,0.35,0.0554797,0.116,5.08333,0.435899,0.583333,0.359586,1
0.275,0.35,0.0555261,0.13485,5.41667,0.457153,0.583333,0.397534,1
0.3,0.35,0.0539585,0.1537,5.75,0.476463,0.583333,0.430571,1
0.325,0.35,0.050964,0.17255,6.08333,0.493994,0.583333,0.459102,1
0.35,0.35,0.0467426,0.1914,6.41667,0.509909,0.583333,0.483651,1
0.375,0.35,0.041483,0.21025,6.75,0.524361,0.583333,0.504764,1
0.4,0.35,0.0353518,0.2291,7.08333,0.537495,0.583333,0.522948,1
0.425,0.35,0.0284914,0.24795,7.41667,0.549445,0.583333,0.538654,1
0.45,0.35,0.021021,0.2668,7.75,0.560329,0.583333,0.552269,1
0.475,0.35,0.0130394,0.28565,8.08333,0.570257,0.583333,0.56412,1
0.5,0.35,0.0046278,0.3045,8.41667,0.579327,0.583333,0.57448,1
0.525,0.35,-0.00414659,0.32335,8.75,0.587625,0.583333,0.583578,1
0.55,0.35,-0.0132285,0.3422,9.08333,0.595229,0.583333,0.591601,1
0.575,0.35,-0.022572,0.36105,9.41667,0.60221,0.583333,0.598708,1
0.6,0.35,-0.0321393,0.3799,9.75,0.608628,0.583333,0.605028,1
0.625,0.35,-0.0418985,0.39875,10.0833,0.614539,0.583333,0.610672,1
0.65,0.35,-0.0518231,0.4176,10.4167,0.619991,0.583333,0.615731,1
0.675,0.35,-0.0618908,0.43645,10.75,0.625029,0.583333,0.620282,1
0.7,0.35,-0.0720827,0.4553,11.0833,0.629691,0.583333,0.62439,1
0.725,0.35,-0.0823827,0.47415,11.4167,0.634011,0.583333,0.62811,1
0.75,0.35,-0.0927772,0.493,11.75,0.638022,0.583333,0.63149,1
0.775,0.35,-0.103255,0.51185,12.0833,0.64175,0.583333,0.634569,1
0.8,0.35,-0.113805,0.5307,12.4167,0.645221,0.583333,0.637382,1
0.825,0.35,-0.124419,0.54955,12.75,0.648456,0.583333,0.639959,1
0.85,0.35,-0.13509,0.5684,13.0833,0.651477,0.583333,0.642325,1
0.875,0.35,-0.145812,0.58725,13.4167,0.6543,0.583333,0.644504,1
0.9,0.35,-0.156578,0.6061,13.75,0.656943,0.583333,0.646513,1
0.925,0.35,-0.167384,0.62495,14.0833,0.659419,0.583333,0.648371,1
0.95,0.35,-0.178225,0.6438,14.4167,0.661742,0.583333,0.650093,1
0.975,0.35,-0.189098,0.66265,14.75,0.663925,0.583333,0.651691,1
1,0.35,-0.2,0.6815,15.0833,0.665977,0.583333,0.653176,1
0,0.375,0.0319356,-0.08125,1.875,0.125442,0.625,0.00586031,1
0.025,0.375,0.0293435,-0.063125,2.20833,0.16293,0.625,0.0164559,1
0.05,0.375,0.0294769,-0.045,2.54167,0.200947,0.625,0.0370732,1
0.075,0.375,0.032805,-0.026875,2.875,0.238368,0.625,0.0702162,1
0.1,0.375,0.0389694,-0.00875,3.20833,0.274383,0.625,0.115607,1
0.125,0.375,0.0468343,0.009375,3.54167,0.308459,0.625,0.169978,1
0.15,0.375,0.0549402,0.0275,3.875,0.340291,0.625,0.228417,1
0.175,0.375,0.0620196,0.045625,4.20833,0.369745,0.625,0.286193,1
0.2,0.375,0.0672731,0.06375,4.54167,0.39681,0.625,0.339936,1
0.225,0.375,0.0703741,0.081875,4.875,0.421557,0.625,0.38788,1
0.25,0.375,0.0713318,0.1,5.20833,0.444108,0.625,0.429513,1
0.275,0.375,0.0703385,0.118125,5.54167,0.464614,0.625,0.465094,1
0.3,0.375,0.0676576,0.13625,5.875,0.483237,0.625,0.495254,1
0.325,0.375,0.0635588,0.154375,6.20833,0.500143,0.625,0.520746,1
0.35,0.375,0.0582866,0.1725,6.54167,0.515491,0.625,0.542304,1
0.375,0.375,0.0520503,0.190625,6.875,0.529433,0.625,0.560587,1
0.4,0.375,0.045023,0.20875,7.20833,0.542109,0.625,0.576156,1
0.425,0.375,0.0373454,0.226875,7.54167,0.553645,0.625,0.58948,1
0.45,0.375,0.0291313,0.245,7.875,0.564159,0.625,0.600943,1
0.475,0.375,0.0204724,0.263125,8.20833,0.573754,0.625,0.610858,1
0.5,0.375,0.0114425,0.28125,8.54167,0.582524,0.625,0.619481,1
0.525,0.375,0.00210176,0.299375,8.875,0.590554,0.625,0.627021,1
0.55,0.375,-0.00750118,0.3175,9.20833,0.597917,0.625,0.633646,1
0.575,0.375,-0.0173263,0.335625,9.54167,0.604679,0.625,0.639496,1
0.6,0.375,-0.0273408,0.35375,9.875,0.610901,0.625,0.644685,1
0.625,0.375,-0.0375173,0.371875,10.2083,0.616635,0.625,0.649308,1
0.65,0.375,-0.0478332,0.39,10.5417,0.621927,0.625,0.653445,1
0.675,0.375,-0.0582694,0.408125,10.875,0.626819,0.625,0.657159,1
0.7,0.375,-0.0688099,0.42625,11.2083,0.631349,0.625,0.660508,1
0.725,0.375,-0.0794412,0.444375,11.5417,0.63555,0.625,0.663537,1
0.75,0.375,-0.0901517,0.4625,11.875,0.639452,0.625,0.666285,1
0.775,0.375,-0.100932,0.480625,12.2083,0.643081,0.625,0.668787,1
0.8,0.375,-0.111773,0.49875,12.5417,0.646461,0.625,0.671071,1
0.825,0.375,-0.122667,0.516875,12.875,0.649613,0.625,0.673162,1
0.85,0.375,-0.133609,0.535,13.2083,0.652558,0.625,0.675081,1
0.875,0.375,-0.144594,0.553125,13.5417,0.655311,0.625,0.676846,1
0.9,0.375,-0.155615,0.57125,13.875,0.65789,0.625,0.678474,1
0.925,0.375,-0.16667,0.589375,14.2083,0.660307,0.625,0.679978,1
0.95,0.375,-0.177754,0.6075,14.5417,0.662577,0.625,0.681371,1
0.975,0.375,-0.188865,0.625625,14.875,0.664709,0.625,0.682664,1
1,0.375,-0.2,0.64375,15.2083,0.666715,0.625,0.683866,1
0,0.4,0.0336565,-0.09,2,0.139353,0.666667,0.0114723,1
0.025,0.4,0.0331524,-0.0726,2.33333,0.177192,0.666667,0.0293104,1
0.05,0.4,0.036366,-0.0552,2.66667,0.2151,0.666667,0.0610313,1
0.075,0.4,0.0433125,-0.0378,3,0.252073,0.666667,0.107817,1
0.1,0.4,0.0528527,-0.0204,3.33333,0.287409,0.666667,0.166713,1
0.125,0.4,0.0631557,-0.003,3.66667,0.320669,0.666667,0.231793,1
0.15,0.4,0.0724735,0.0144,4,0.351617,0.666667,0.296767,1
0.175,0.4,0.0796578,0.0318,4.33333,0.380172,0.666667,0.357009,1
0.2,0.4,0.0842347,0.0492,4.66667,0.406356,0.666667,0.410125,1
0.225,0.4,0.0862152,0.0666,5,0.430263,0.666667,0.455501,1
0.25,0.4,0.0858658,0.084,5.33333,0.452028,0.666667,0.493575,1
0.275,0.4,0.0835415,0.1014,5.66667,0.471809,0.666667,0.525251,1
0.3,0.4,0.0795945,0.1188,6,0.489769,0.666667,0.551544,1
0.325,0.4,0.0743342,0.1362,6.33333,0.506073,0.666667,0.573407,1
0.35,0.4,0.0680173,0.1536,6.66667,0.520877,0.666667,0.591662,1
0.375,0.4,0.06085,0.171,7,0.534328,0.666667,0.606988,1
0.4,0.4,0.0529959,0.1884,7.33333,0.546562,0.666667,0.619937,1
0.425,0.4,0.0445837,0.2058,7.66667,0.557702,0.666667,0.630948,1
0.45,0.4,0.035715,0.2232,8,0.567859,0.666667,0.640373,1
0.475,0.4,0.0264702,0.2406,8.33333,0.577135,0.666667,0.648493,1
0.5,0.4,0.0169133,0.258,8.66667,0.585618,0.666667,0.655532,1
0.525,0.4,0.00709561,0.2754,9,0.593389,0.666667,0.66167,1
0.55,0.4,-0.00294145,0.2928,9.33333,0.60052,0.666667,0.667051,1
