dataset,condition,module,data_zscore,model_zscore,model_raw,residual
Bl6,Normal,C,-0.8614619375563097,-1.1729009629852634,0.039266227792082276,-0.31143902542895363
Bl6,Normal,A,-0.8162470073972896,-1.5770754676446055,0.1227820029433472,-0.7608284602473159
Bl6,Normal,T,-0.1927384698825007,-1.4892986450680197,0.07103332433878869,-1.296560175185519
Bl6,Normal,M,-0.7049225126877289,-1.0010765197313696,7.256154122772223e-07,-0.2961540070436407
Bl6,SCC,C,0.4307309687781547,0.9941064944518109,0.6648883508321217,0.5633755256736561
Bl6,SCC,A,0.4081235036986447,0.9286997318438535,0.5050119409591057,0.5205762281452088
Bl6,SCC,T,0.09636923494125,0.9509698594060368,0.33880230277796897,0.8546006244647868
Bl6,SCC,M,0.3524612563438645,0.9999996201389394,0.5720712106742787,0.6475383637950749
PAP_SCC,Papilloma,C,-0.4162847603404543,-1.0109224259536262,0.08602995990424789,-0.594637665613172
PAP_SCC,Papilloma,A,-0.3957107436700137,-0.9163725750599772,0.22356535562838042,-0.5206618313899635
PAP_SCC,Papilloma,T,-0.3494865554457809,-0.9456625650195623,0.13068613612174038,-0.5961760095737814
PAP_SCC,Papilloma,M,-0.3600867112621042,-0.99827399664797,0.0008019148894060675,-0.6381872853858659
PAP_SCC,SCC,C,0.4162847603404546,0.9941064944518109,0.6648883508321217,0.5778217341113563
PAP_SCC,SCC,A,0.3957107436700131,0.9286997318438535,0.5050119409591057,0.5329889881738403
PAP_SCC,SCC,T,0.3494865554457803,0.9509698594060368,0.33880230277796897,0.6014833039602565
PAP_SCC,SCC,M,0.3600867112621041,0.9999996201389394,0.5720712106742787,0.6399129088768353
PDV,PDV_LeprKO,C,-0.3042164450699823,-0.7984960944165429,0.1473581348810968,-0.4942796493465606
PDV,PDV_LeprKO,A,-0.355083100035454,-0.29265115282697834,0.31870756974554826,0.06243194720847567
PDV,PDV_LeprKO,T,-0.2074806983284766,-0.41794836813052794,0.18859185065674164,-0.21046766980205134
PDV,PDV_LeprKO,M,-0.2346849267600328,-1.0006483440374785,0.00012313309007769095,-0.7659634172774457
PDV,PDV_WT,C,0.3042164450699822,0.9941064944518109,0.6648883508321217,0.6898900493818287
PDV,PDV_WT,A,0.3550831000354537,0.9286997318438535,0.5050119409591057,0.5736166318083997
PDV,PDV_WT,T,0.2074806983284765,0.9509698594060368,0.33880230277796897,0.7434891610775604
PDV,PDV_WT,M,0.2346849267600331,0.9999996201389394,0.5720712106742787,0.7653146933789063
