branch,f_ras,C,A,T,R,L,M
down,1.0102,0.712609,0.736085,13.1819,0.652331,1.22681,0.790138
down,0.979592,0.712544,0.735996,13.1806,0.65232,1.22666,0.790132
down,0.94898,0.71248,0.735908,13.1793,0.652309,1.22651,0.790127
down,0.918367,0.712415,0.735819,13.178,0.652298,1.22636,0.790122
down,0.887755,0.71235,0.73573,13.1766,0.652286,1.22622,0.790116
down,0.857143,0.712285,0.735641,13.1753,0.652275,1.22607,0.790111
down,0.826531,0.71222,0.735552,13.174,0.652264,1.22592,0.790105
down,0.795918,0.712154,0.735463,13.1727,0.652252,1.22577,0.7901
down,0.765306,0.712089,0.735374,13.1714,0.652241,1.22562,0.790094
down,0.734694,0.712024,0.735285,13.1701,0.65223,1.22548,0.790089
down,0.704082,0.711959,0.735196,13.1688,0.652219,1.22533,0.790084
down,0.673469,0.711894,0.735107,13.1675,0.652207,1.22518,0.790078
down,0.642857,0.711829,0.735017,13.1661,0.652196,1.22503,0.790073
down,0.612245,0.711763,0.734928,13.1648,0.652185,1.22488,0.790067
down,0.581633,0.711698,0.734839,13.1635,0.652173,1.22473,0.790062
down,0.55102,0.711633,0.734749,13.1622,0.652162,1.22458,0.790056
down,0.520408,0.711567,0.734659,13.1609,0.65215,1.22443,0.790051
down,0.489796,0.711502,0.73457,13.1595,0.652139,1.22428,0.790046
down,0.459184,0.711437,0.73448,13.1582,0.652128,1.22413,0.79004
down,0.428571,0.711371,0.73439,13.1569,0.652116,1.22398,0.790035
down,0.397959,0.711306,0.7343,13.1556,0.652105,1.22383,0.790029
down,0.367347,0.71124,0.73421,13.1543,0.652093,1.22368,0.790024
down,0.336735,0.711175,0.73412,13.1529,0.652082,1.22353,0.790018
down,0.306122,0.711109,0.73403,13.1516,0.652071,1.22338,0.790013
down,0.27551,0.711043,0.73394,13.1503,0.652059,1.22323,0.790007
down,0.244898,0.710978,0.73385,13.149,0.652048,1.22308,0.790001
down,0.214286,0.710912,0.73376,13.1476,0.652036,1.22293,0.789996
down,0.183673,0.710846,0.733669,13.1463,0.652025,1.22278,0.78999
down,0.153061,0.710781,0.733579,13.145,0.652013,1.22263,0.789984
down,0.122449,0.710715,0.733488,13.1436,0.652002,1.22248,0.789979
down,0.0918367,0.710649,0.733398,13.1423,0.65199,1.22233,0.789973
down,0.0612245,0.710583,0.733307,13.141,0.651979,1.22218,0.789968
down,0.0306122,0.710517,0.733216,13.1396,0.651967,1.22203,0.789962
down,0,0.710451,0.733125,13.1383,0.651956,1.22188,0.789957
