module,rss,n_points,mse
A,1.83313650291717,6,0.305522750486195
C,2.0153229437245366,6,0.33588715728742274
M,2.4909610676287834,6,0.4151601779381306
T,3.8890607205641254,6,0.6481767867606876
GLOBAL,10.228481234834614,24,0.42618671811810893
