cell_id,sample_id,seurat_clusters,louvain_cluster,is_CSC,UMAP_1,UMAP_2,Lepr_expr,Krt14_expr,pseudotime,pseudotime_norm,CSC_signature_score
8F-MN-P2-C2-E2_S1106Aligned.quant,8F,3,3,TRUE,-0.8979742973075344,0.7238490527366942,0.06775596071850706,3.6835103287127673,28.49695531974769,0.10281207158139624,0.09564825518885826
8F-MN-P2-C2-E3_S1107Aligned.quant,8F,3,3,FALSE,-0.5856340377555325,0.1895388012623137,0.10221760548325325,3.5410027717161667,42.80830558117704,0.15444494081233748,0.013836709307892964
8F-MN-P2-C2-E4_S1108Aligned.quant,8F,2,2,FALSE,-2.2102578132377104,1.6770060604309385,0.04688314232442202,3.903460563593493,35.96138382372538,0.12974243480982703,-0.022383570292710542
8F-MN-P2-C2-E5_S1109Aligned.quant,8F,1,1,FALSE,-1.6378384082541897,-2.5363550836349185,0.0959142173276268,4.131681348706677,NA,NA,-0.053170187541380615
8F-MN-P2-C2-E6_S1110Aligned.quant,8F,3,3,FALSE,-1.4657767265067532,0.6643824821209258,0.05269747256824322,3.3171247434178106,22.140507850567793,0.07987911173105616,0.013354009213966664
8F-MN-P2-C2-E7_S1111Aligned.quant,8F,1,1,FALSE,0.3883951456322239,-2.4840241128707583,0,3.740544321247452,NA,NA,-0.05415098888861354
8F-MN-P2-C2-E8_S1112Aligned.quant,8F,3,3,FALSE,-1.5556290595756008,-0.37791199033505263,0.05775331499141249,3.214881943278189,24.385666980783583,0.08797925641729962,-0.024901050238119185
8F-MN-P2-C2-E9_S1113Aligned.quant,8F,2,2,FALSE,4.148098901010947,-2.386548107316559,0,4.032586639695425,51.62787792848054,0.18626442795803647,-0.05239219536115178
8F-MN-P2-C2-E11_S1115Aligned.quant,8F,2,2,FALSE,-2.741246744893594,2.2721683328842466,0.2622210941107465,3.7474963827874634,60.77843685698953,0.21927805727427813,-0.05976966320908994
8F-MN-P2-C2-E12_S1116Aligned.quant,8F,3,3,FALSE,-1.6413867919669582,-0.5983372980857545,0,2.7306730779702226,16.4756714706254,0.05944136472066111,-0.0425972010771113
8F-MN-P2-C2-F1_S1117Aligned.quant,8F,3,3,FALSE,-1.7414334266410305,-0.5751108581329042,0.05662233241090989,2.7662316959068947,12.0138204118275,0.04334378007361749,-0.023160202868650948
8F-MN-P2-C2-F2_S1118Aligned.quant,8F,2,2,FALSE,-4.118022486470743,1.4573569839691465,0.177537045163885,4.185571444734744,62.97438097983441,0.22720064275098767,-0.03784058385481663
8F-MN-P2-C2-F3_S1119Aligned.quant,8F,1,1,TRUE,1.370684728123145,-1.849041765382355,0,3.6190748576983895,NA,NA,0.03033046317290261
8F-MN-P2-C2-F4_S1120Aligned.quant,8F,0,0,TRUE,4.513329938150839,0.2143954133486098,0.10525630734991784,3.2567261545669517,NA,NA,0.178794500784096
8F-MN-P2-C2-F5_S1121Aligned.quant,8F,4,4,FALSE,-3.3347297160850005,-0.4832965785766298,0.09635435992716575,3.6853895025914083,NA,NA,-0.010449560925568757
8F-MN-P2-C2-F6_S1122Aligned.quant,8F,6,6,TRUE,-2.9043655841575102,4.41949051077121,0,1.484992126437011,84.61301026269126,0.3052690636678954,0.023605512157731698
8F-MN-P2-C2-F7_S1123Aligned.quant,8F,1,1,FALSE,0.6128424556030796,-1.0457714254165347,0.21067724066629745,3.7644218975858235,NA,NA,0.002880341566284278
8F-MN-P2-C2-F8_S1124Aligned.quant,8F,2,2,FALSE,-2.3777215926871733,1.6496687477325742,0,3.3497120723807847,66.79439897882538,0.24098260505354707,-0.04042443934633563
8F-MN-P2-C2-F9_S1125Aligned.quant,8F,2,2,FALSE,-1.0613916366324856,0.010872895071441513,0.05067929126686431,3.9175676773257786,41.65581027974898,0.15028693768189308,-0.03564047091654407
8F-MN-P2-C2-F10_S1126Aligned.quant,8F,3,3,FALSE,-2.371206089757486,0.21119559759848772,0.01991019977154855,2.860935646604196,8.849765387222883,0.03192841839630528,-0.021348277712908675
8F-MN-P2-C2-F12_S1128Aligned.quant,8F,1,1,TRUE,0.8893970997108982,-0.26507241075283827,0.0340972106186767,3.97868194184029,47.66956845188134,0.17198353399293903,0.04993471288833756
8F-MN-P2-C2-G1_S1129Aligned.quant,8F,1,1,FALSE,-0.015865608953042232,-2.1643343621993716,0,4.1573912069798995,49.84510084934734,0.17983247750519288,-0.0502976918050186
8F-MN-P2-C2-G2_S1130Aligned.quant,8F,1,1,FALSE,0.23691208670278052,-1.301030462434357,0.033910556250884315,3.318181032730666,NA,NA,-0.0040958045886922145
8F-MN-P2-C2-G3_S1131Aligned.quant,8F,2,2,FALSE,1.0604111702217625,-1.02440506761319,0.15716855313063044,3.8701675011194463,53.11089835653139,0.19161490841093515,-0.023520003360693015
8F-MN-P2-C2-G4_S1132Aligned.quant,8F,2,2,FALSE,-0.1268779485450222,-2.4143782312179263,0.08514176492531364,4.161795323434412,50.481252082455256,0.1821276008045427,-0.04830497532023717
8F-MN-P2-C2-G5_S1133Aligned.quant,8F,2,2,FALSE,1.7532280982508228,0.03791555220835863,0.0776886882257337,3.8973053523983423,55.659460653594245,0.2008096790934613,-0.019958968347078887
8F-MN-P2-C2-G6_S1134Aligned.quant,8F,1,1,FALSE,0.47899444410939673,-0.7855345660949403,0,3.2458878229405,NA,NA,0.012413936583942298
8F-MN-P2-C2-G7_S1135Aligned.quant,8F,1,1,FALSE,0.12510819742818335,-2.3957749063277896,0.0214729407042737,3.59101251254072,NA,NA,-0.06634034325089257
8F-MN-P2-C2-G8_S1136Aligned.quant,8F,1,1,FALSE,0.19905014345784644,-2.4312670881057437,0.028023532138593876,3.218304835079019,NA,NA,-0.062396688545776166
8F-MN-P2-C2-G9_S1137Aligned.quant,8F,2,2,FALSE,-2.577021643422647,2.199760371992523,0.16642614475561135,3.7106912369353613,65.34425046927032,0.23575072078046783,-0.04171358316484711
8F-MN-P2-C2-G10_S1138Aligned.quant,8F,3,3,FALSE,-1.5891418903098538,-0.44416589086300673,0,2.8650257137116806,12.886241369477768,0.04649132355468871,-0.037549475515175894
8F-MN-P2-C2-G11_S1139Aligned.quant,8F,3,3,FALSE,-1.3266120403037502,0.7423085516189879,0.08668368428408256,3.4550259436297126,29.33000571090727,0.10581757288796764,0.01125152144632105
