cell_id,TGFb_module_score,mTOR_module_score,Angio_module_score,CSC_module_score
11M-DP-P1-A2-F3_S159Aligned.quant,-0.038428029680654036,0.04658068942492284,0.006466591066875721,0.026224598906624874
3M-IL-P1-B5-A1_S865Aligned.quant,0.009636546150060099,-0.036203838741847585,-0.02117689501963002,-0.025213942325907956
3M-IL-P1-B5-A2_S866Aligned.quant,0.07694006721662211,-0.04271693854302591,-0.02442856691785185,-0.048325136882591324
3M-IL-P1-B5-A3_S867Aligned.quant,-0.09655591564938774,-0.06364028104012662,-0.007999627722374947,-0.029216930420836257
3M-IL-P1-B5-A5_S869Aligned.quant,-0.08679937073293786,-0.09120236831484393,-0.11784909379489422,-0.09913678700709792
3M-IL-P1-B5-A7_S871Aligned.quant,-0.073267497200885,-0.021821220024941954,0.05740822631286341,0.07313769327276262
3M-IL-P1-B5-A8_S872Aligned.quant,-0.10485101880143366,-0.05170369741069189,-0.013666986851669338,-0.058918819581502746
3M-IL-P1-B5-A10_S874Aligned.quant,-0.10519988748893604,-0.08117789887270717,-0.024398041485531624,-0.04452848219897554
3M-IL-P1-B5-A11_S875Aligned.quant,0.10035990501678443,-0.052743550931533156,-0.03217721290627712,-0.04938218062543184
3M-IL-P1-B5-A12_S876Aligned.quant,-0.06326501936801832,-0.07726556530007533,-0.04538007731361049,-0.05219046945602501
3M-IL-P1-B5-B1_S877Aligned.quant,-0.08603481892452786,-0.06630265282041686,-0.04365699896185611,-0.07062246223749327
3M-IL-P1-B5-B3_S879Aligned.quant,-0.03625337901443861,-0.036012515551959015,-0.040028804065325226,-0.035265949207503186
3M-IL-P1-B5-B4_S880Aligned.quant,-0.10337474567742486,-0.09907911706385111,-0.06811856868228167,-0.04486949671692658
3M-IL-P1-B5-B5_S881Aligned.quant,-0.06249373724808878,-0.05685320226763459,-0.021107411785532215,-0.03299287025313702
3M-IL-P1-B5-B6_S882Aligned.quant,-0.03692690854342953,-0.09805800104029991,0.10337332397260318,-0.0467522778972807
3M-IL-P1-B5-B7_S883Aligned.quant,-0.017269051165420796,-0.06161892027282946,-0.028493850901044213,-0.04308528420775665
3M-IL-P1-B5-B8_S884Aligned.quant,-0.08410016765012887,-0.05975185886662682,-0.0490443612798423,-0.007309463092754931
3M-IL-P1-B5-B11_S887Aligned.quant,-0.09948866500073823,-0.03772250488540692,-0.019040955792211545,-0.0088325488571388
3M-IL-P1-B5-B12_S888Aligned.quant,-0.11629784389803463,-0.06290451885940533,-0.03086052580954496,-0.0027025974025483845
3M-IL-P1-B5-C1_S889Aligned.quant,-0.06870309897248625,-0.05115845807320786,-0.016601759041739494,-0.04804151466834286
3M-IL-P1-B5-C2_S890Aligned.quant,-8.435732707620658e-5,-0.057021380077001665,-0.03407314162975689,0.004619624283453888
3M-IL-P1-B5-C3_S891Aligned.quant,0.005540570624098615,-0.02285432097119687,-0.06372625427543083,-0.07390152285999693
3M-IL-P1-B5-C4_S892Aligned.quant,-0.04322232378576635,-0.07204082899241221,-0.05571377227723105,-0.07741879013848971
3M-IL-P1-B5-C5_S893Aligned.quant,0.022248235412524825,-0.08589733368665456,-0.08084266900975925,-0.0816714996231205
3M-IL-P1-B5-C6_S894Aligned.quant,-0.04358035877150951,-0.0690095372513201,-0.043084051009495694,-0.05183953326835686
3M-IL-P1-B5-C7_S895Aligned.quant,-0.08271305667783194,-0.009470318398177358,0.04973367783328425,0.07984290328748758
3M-IL-P1-B5-C8_S896Aligned.quant,-0.08836690462943583,-0.08032119230427501,-0.042698070429652735,-0.0314904749629451
3M-IL-P1-B5-C10_S898Aligned.quant,0.023559754967077684,-0.09249882028568183,-0.06027618849294322,-0.1270238798554303
3M-IL-P1-B5-C11_S899Aligned.quant,-0.002863571101041934,-0.06906038587583445,-0.049715808526709857,-0.017353131893067003
3M-IL-P1-B5-D1_S901Aligned.quant,-0.006302835408912938,-0.06647927288325661,-0.04655341672954928,-0.10555176905567147
3M-IL-P1-B5-D4_S904Aligned.quant,0.03454239454083061,-0.10091832504936266,-0.045442000259235005,-0.09923446467382606
3M-IL-P1-B5-D5_S905Aligned.quant,-0.04103738477028139,-0.05257730195821596,-0.02737704299463023,-0.07444489347247871
3M-IL-P1-B5-D6_S906Aligned.quant,-0.11196534103787983,-0.0580615734167257,0.007278612594318862,-0.004570038520969211
3M-IL-P1-B5-D8_S908Aligned.quant,-0.08051747178000732,-0.04304673410947991,-0.025080690769810204,-0.06329643913920681
3M-IL-P1-B5-D10_S910Aligned.quant,-0.10592014199622059,-0.04203153431922138,-0.03729169157236864,-0.013603088539311164
3M-IL-P1-B5-D11_S911Aligned.quant,0.15597993440614713,-0.03702971921396102,0.035922873585518045,-0.04885584477525956
