condition,n_samples,C_score,V_score,R_score,M_score
Norm,2,5.289670925689853,2.032671701519863,0.4218713524742639,5.193954181270272
Other,2,4.163870512387376,3.2660544814325823,1.5863077609067389,5.948848400950971
Tumor,2,4.367118854937355,3.4168510860443995,1.2544931764995813,5.898966233935745
