time,f_ras,C,A,T,R,L,M
0.0,0.9,0.660704902339558,0.4998607295947815,0.33558720400067193,0.3214552310129652,0.749791094392171,0.563658991550115
0.2002002002002002,0.9,0.6607049023395583,0.49986072959478156,0.33558720400067193,0.3214552310129653,0.7497910943921712,0.5636589915501152
0.4004004004004004,0.9,0.6607049023395584,0.49986072959478156,0.335587204000672,0.32145523101296536,0.7497910943921714,0.5636589915501156
0.6006006006006006,0.9,0.6607049023395585,0.49986072959478156,0.335587204000672,0.32145523101296547,0.7497910943921715,0.5636589915501158
0.8008008008008008,0.9,0.6607049023395585,0.4998607295947816,0.335587204000672,0.3214552310129655,0.7497910943921716,0.563658991550116
1.001001001001001,0.9,0.6607049023395586,0.4998607295947816,0.335587204000672,0.3214552310129656,0.7497910943921717,0.5636589915501163
1.2012012012012012,0.9,0.6607049023395587,0.49986072959478167,0.335587204000672,0.32145523101296564,0.7497910943921718,0.5636589915501167
1.4014014014014016,0.9,0.6607049023395588,0.49986072959478167,0.33558720400067205,0.32145523101296564,0.749791094392172,0.5636589915501169
1.6016016016016017,0.9,0.6607049023395589,0.4998607295947817,0.3355872040006721,0.32145523101296564,0.7497910943921721,0.5636589915501171
1.8018018018018018,0.9,0.660704902339559,0.4998607295947818,0.33558720400067216,0.3214552310129657,0.7497910943921722,0.5636589915501173
2.002002002002002,0.9,0.6607049023395591,0.4998607295947818,0.33558720400067216,0.32145523101296575,0.7497910943921723,0.5636589915501174
2.2022022022022023,0.9,0.6607049023395591,0.49986072959478184,0.3355872040006722,0.32145523101296575,0.7497910943921724,0.5636589915501176
2.4024024024024024,0.9,0.6607049023395591,0.49986072959478184,0.3355872040006722,0.3214552310129658,0.7497910943921725,0.5636589915501177
2.6026026026026026,0.9,0.6607049023395591,0.49986072959478184,0.3355872040006722,0.3214552310129658,0.7497910943921725,0.5636589915501178
2.802802802802803,0.9,0.6607049023395593,0.49986072959478184,0.3355872040006722,0.3214552310129658,0.7497910943921725,0.5636589915501179
3.0030030030030033,0.9,0.6607049023395593,0.49986072959478184,0.3355872040006722,0.3214552310129658,0.7497910943921725,0.563658991550118
3.2032032032032034,0.9,0.6607049023395593,0.49986072959478184,0.3355872040006722,0.3214552310129658,0.7497910943921725,0.563658991550118
3.4034034034034035,0.9,0.6607049023395593,0.49986072959478184,0.3355872040006722,0.3214552310129658,0.7497910943921725,0.563658991550118
3.6036036036036037,0.9,0.6607049023395593,0.49986072959478184,0.3355872040006722,0.3214552310129658,0.7497910943921725,0.563658991550118
3.8038038038038042,0.9,0.6607049023395593,0.49986072959478184,0.3355872040006722,0.3214552310129658,0.7497910943921725,0.563658991550118
4.004004004004004,0.9,0.6607049023395593,0.49986072959478184,0.3355872040006722,0.3214552310129658,0.7497910943921725,0.563658991550118
4.2042042042042045,0.9,0.6607049023395593,0.49986072959478184,0.3355872040006722,0.3214552310129658,0.7497910943921725,0.563658991550118
4.404404404404405,0.9,0.6607049023395593,0.49986072959478184,0.3355872040006722,0.3214552310129658,0.7497910943921725,0.563658991550118
4.604604604604605,0.9,0.6607049023395593,0.49986072959478184,0.3355872040006722,0.3214552310129658,0.7497910943921725,0.563658991550118
4.804804804804805,0.9,0.6607049023395593,0.49986072959478184,0.3355872040006722,0.3214552310129658,0.7497910943921725,0.563658991550118
5.005005005005005,0.9,0.6607049023395593,0.49986072959478184,0.3355872040006722,0.3214552310129658,0.7497910943921725,0.563658991550118
5.205205205205205,0.9,0.6607049023395593,0.49986072959478184,0.3355872040006722,0.3214552310129658,0.7497910943921725,0.563658991550118
5.405405405405406,0.9,0.6607049023395593,0.49986072959478184,0.3355872040006722,0.3214552310129658,0.7497910943921725,0.563658991550118
5.605605605605606,0.9,0.6607049023395593,0.49986072959478184,0.3355872040006722,0.3214552310129658,0.7497910943921725,0.563658991550118
5.805805805805806,0.9,0.6607049023395593,0.49986072959478184,0.3355872040006722,0.3214552310129658,0.7497910943921725,0.563658991550118
6.0060060060060065,0.9,0.6607049023395593,0.49986072959478184,0.3355872040006722,0.3214552310129658,0.7497910943921725,0.563658991550118
6.206206206206207,0.9,0.6607049023395593,0.49986072959478184,0.3355872040006722,0.3214552310129658,0.7497910943921725,0.563658991550118
6.406406406406407,0.9,0.6607049023395593,0.49986072959478184,0.3355872040006722,0.3214552310129658,0.7497910943921725,0.563658991550118
6.606606606606607,0.9,0.6607049023395593,0.49986072959478184,0.3355872040006722,0.3214552310129658,0.7497910943921725,0.563658991550118
6.806806806806807,0.9,0.6607049023395593,0.49986072959478184,0.3355872040006722,0.3214552310129658,0.7497910943921725,0.563658991550118
7.007007007007007,0.9,0.6607049023395593,0.49986072959478184,0.3355872040006722,0.3214552310129658,0.7497910943921725,0.563658991550118
7.207207207207207,0.9,0.6607049023395593,0.49986072959478184,0.3355872040006722,0.3214552310129658,0.7497910943921725,0.563658991550118
7.407407407407407,0.9,0.6607049023395593,0.49986072959478184,0.3355872040006722,0.3214552310129658,0.7497910943921725,0.563658991550118
7.6076076076076085,0.9,0.6607049023395593,0.49986072959478184,0.3355872040006722,0.3214552310129658,0.7497910943921725,0.563658991550118
7.807807807807809,0.9,0.6607049023395593,0.49986072959478184,0.3355872040006722,0.3214552310129658,0.7497910943921725,0.563658991550118
8.008008008008009,0.9,0.6607049023395593,0.49986072959478184,0.3355872040006722,0.3214552310129658,0.7497910943921725,0.563658991550118
8.208208208208209,0.9,0.6607049023395593,0.49986072959478184,0.3355872040006722,0.3214552310129658,0.7497910943921725,0.563658991550118
