dataset,condition,C_target,A_target,T_target,M_target,C_model,A_model,T_model,M_model,C_resid,A_resid,T_resid,M_resid
Bl6,Normal,-0.8614619375563097,-0.8162470073972893,-0.1927384698825008,-0.7049225126877288,0.7057531396385055,1.509713396419133,2.175752349858448,1.2726147562134944,1.5672150771948152,2.3259604038164223,2.368490819740949,1.9775372689012232
Bl6,SCC,0.4307309687781548,0.4081235036986449,0.0963692349412502,0.3524612563438644,0.7057531396385055,1.509713396419133,2.175752349858448,1.2726147562134944,0.2750221708603507,1.101589892720488,2.079383114917198,0.92015349986963
PAP_SCC,Papilloma,-0.4162847603404546,-0.3957107436700137,-0.349486555445781,-0.3600867112621045,0.7057531396385055,1.509713396419133,2.175752349858448,1.2726147562134944,1.12203789997896,1.9054241400891465,2.5252389053042292,1.6327014674755989
PAP_SCC,SCC,0.4162847603404545,0.3957107436700131,0.3494865554457805,0.360086711262104,0.7057531396385055,1.509713396419133,2.175752349858448,1.2726147562134944,0.289468379298051,1.1140026527491198,1.8262657944126677,0.9125280449513904
PDV,PDV_WT,0.304216445069982,0.3550831000354538,0.2074806983284763,0.2346849267600328,0.7057531396385055,1.509713396419133,2.175752349858448,1.2726147562134944,0.4015366945685235,1.1546302963836792,1.9682716515299719,1.0379298294534616
PDV,PDV_LeprKO,-0.3042164450699822,-0.3550831000354536,-0.2074806983284767,-0.2346849267600329,0.7057531396385055,1.509713396419133,2.175752349858448,1.2726147562134944,1.0099695847084877,1.8647964964545864,2.383233048186925,1.5072996829735272
