time,C,A,T,R,L,M,f_ras
0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.9
0.5012531328320802,0.19054842355978438,0.22847049541927703,0.10701902330454706,0.08367630156579935,0.1414152068858478,0.07873453562174042,0.9
1.0025062656641603,0.21774975486462672,0.2965756428239286,0.14102800598132087,0.07887014813102719,0.20924743277367544,0.062008390700369544,0.9
1.5037593984962405,0.22242147995729783,0.32704698192050624,0.170450152242217,0.08689834263614676,0.2775286443978729,0.048904347182194226,0.9
2.0050125313283207,0.21984047709408913,0.33891871445412214,0.18923999243557782,0.10234129500229266,0.33568465517486606,0.03882325567903886,0.9
2.506265664160401,0.21495618901607974,0.34240745525252114,0.19937652903881356,0.11924575560934624,0.38142518717426327,0.031529718483326113,0.9
3.007518796992481,0.20969571502833334,0.3423148176924122,0.20397623537370702,0.13410904549020072,0.4158096025004737,0.027025054095443434,0.9
3.508771929824561,0.20541698859660326,0.34093383397627225,0.20548081991234146,0.14567607436286212,0.4409114896434873,0.02522585473873373,0.9
4.010025062656641,0.20313276887664725,0.3394908114816031,0.20552901361953513,0.15398949309559817,0.4589133897864187,0.025743224901874154,0.9
4.511278195488721,0.20329355406219426,0.33867015481014084,0.20515904255133227,0.1596662405053513,0.47178914617249684,0.027942475256559803,0.9
5.012531328320802,0.2057837462354627,0.33877772321849137,0.20497903847233434,0.1634833436442681,0.4811860092318511,0.031158048658629544,0.9
5.513784461152882,0.21013891752803965,0.3398379629952255,0.20528386131450568,0.16616428952201626,0.48838166688023626,0.034869545301279156,0.9
6.015037593984962,0.2158051113208067,0.341704311245557,0.20615195075462145,0.16828329126599056,0.49429274388340955,0.03876390274786331,0.9
6.516290726817042,0.22231507251306581,0.34416729407784685,0.20753357800399735,0.17024049793062895,0.49952466993057293,0.04271125211622131,0.9
7.017543859649122,0.22935896290436533,0.34703196218080373,0.2093242168689698,0.17227850630108898,0.5044450068323798,0.04670680561179497,0.9
7.518796992481203,0.23677900758409176,0.3501561021796047,0.21141533484034025,0.17451931156169578,0.5092598375148949,0.05081456323241555,0.9
8.020050125313283,0.24453132629422022,0.35345575460940803,0.213720929555765,0.17700630052294564,0.5140790138732888,0.05512692958447532,0.9
8.521303258145362,0.25264401258462943,0.35689532675661584,0.2161856879241983,0.17973933590695917,0.5189615031220565,0.059742014878834945,0.9
9.022556390977442,0.26118368456934954,0.36047300459950665,0.2187832179275688,0.1826997677620612,0.5239434966374014,0.06475347032575388,0.9
9.523809523809524,0.2702304167026773,0.36420505361595706,0.22150886695733113,0.1858680942853344,0.5290561503514264,0.07024711919634195,0.9
10.025062656641603,0.27986454074866973,0.3681149106527856,0.22437125204397237,0.18923099631377308,0.5343306117795471,0.07630573251987685,0.9
10.526315789473683,0.29016176825193074,0.3722275639824262,0.2273850891595507,0.19278279536289356,0.5397991011425135,0.08301298009216206,0.9
11.027568922305765,0.3011917666215798,0.3765653146905253,0.23056834875357018,0.1965250211659137,0.545495026383775,0.0904578052847734,0.9
11.528822055137844,0.31301611714350364,0.38114640495031205,0.23393818224178498,0.20046430964989836,0.5514505550693783,0.09873597438444538,0.9
12.030075187969924,0.325688872353059,0.38598452359780727,0.23751025953893132,0.20460981817194931,0.5576963014172593,0.10795520774086395,0.9
12.531328320802004,0.33925332674994396,0.3910889707535791,0.2412973786778831,0.20897101819060598,0.5642589888081395,0.11823198993456054,0.9
13.032581453634084,0.3537414944166771,0.3964611483957168,0.2453084656266945,0.21355593973074855,0.5711606671482293,0.12969009156616612,0.9
13.533834586466165,0.3691611771670028,0.4020972553982305,0.24954842226352836,0.21836878469978557,0.5784170565026593,0.14245679099050612,0.9
14.035087719298245,0.38549730768494656,0.40798207595981795,0.25401573439677866,0.22340903821002822,0.586036107346922,0.15665425072058578,0.9
14.536340852130325,0.4026961189735742,0.41409086916674626,0.25870168406279154,0.2286694270335326,0.5940157843499171,0.17238890913893645,0.9
15.037593984962406,0.42065986549649287,0.42038509134296587,0.26358856414727444,0.23413453006582519,0.6023422926876145,0.18973679564917756,0.9
15.538847117794486,0.4392390051220038,0.4268120642807049,0.2686478453727056,0.23977931977704758,0.6109875155305268,0.20872606881072775,0.9
16.040100250626566,0.458230008587701,0.4333044958344004,0.27383872984579344,0.24556793475843194,0.6199067890933504,0.22931686918718025,0.9
16.541353383458645,0.47738076227867915,0.43978060632399346,0.27910838856170017,0.2514535203613671,0.6290385040799289,0.25138336072174583,0.9
17.042606516290725,0.4963964429481082,0.4461507549656798,0.28439252275762916,0.2573782462323391,0.6383030009307435,0.27470005621819543,0.9
17.543859649122805,0.5149602208376468,0.45232133298507543,0.28961822096297385,0.2632755891572599,0.6476051542901133,0.2989389609668568,0.9
18.045112781954884,0.5327594052111916,0.4582002653620823,0.29470863142888554,0.26907306325602953,0.6568384862244382,0.3236807889716584,0.9
18.546365914786968,0.5495117088709768,0.4637060782331941,0.29958772408909123,0.2746964957010413,0.665890129450224,0.34844221982149853,0.9
19.047619047619047,0.5649886499563932,0.4687741315831917,0.3041865978862251,0.28007479045141015,0.6746480515564316,0.3727160720165873,0.9
19.548872180451127,0.5790324834965143,0.4733610210138826,0.3084487969507983,0.2851447979241526,0.6830084088909797,0.396018183921388,0.9
20.050125313283207,0.5915620527576265,0.47744619099182833,0.3123340330899714,0.2898553420610241,0.6908820623660651,0.4179307085773337,0.9
20.551378446115287,0.6025695904482203,0.4810305543693436,0.3158198199791721,0.2941699006409154,0.6981993997042504,0.43813408030149986,0.9
