C,M,dC,dM
0.0,0.0,8.911871240968594e-11,2.3065144238998414e-10
0.05263157894736842,0.0,1.1845746605843033e-11,4.3340553368409473e-11
0.10526315789473684,0.0,-6.091227522375675e-11,-9.726397465215086e-11
0.15789473684210525,0.0,5.381679546445639e-10,1.4012699334209344e-09
0.21052631578947367,0.0,1.199447208222182e-10,3.0841140752357887e-10
0.2631578947368421,0.0,6.367850691191279e-11,4.266232922489621e-10
0.3157894736842105,0.0,2.0414137047453096e-10,5.307487782602038e-10
0.3684210526315789,0.0,1.5409129527910181e-10,4.297507905093312e-10
0.42105263157894735,0.0,2.8542501695483224e-11,7.580974736853818e-11
0.47368421052631576,0.0,1.1818412914976761e-10,3.012559646187185e-10
0.5263157894736842,0.0,1.7502810312208794e-10,4.69437544392548e-10
0.5789473684210527,0.0,5.622297072349625e-10,9.015284629931841e-10
0.631578947368421,0.0,-7.245426481006234e-12,-1.8710255567100376e-11
0.6842105263157894,0.0,-5.3459792148657925e-11,-1.4132128800525834e-10
0.7368421052631579,0.0,1.5765189154137715e-10,4.0599934525431536e-10
0.7894736842105263,0.0,2.4763291417428945e-10,6.444242917069687e-10
0.8421052631578947,0.0,1.1467793381569891e-10,2.860310877039751e-10
0.894736842105263,0.0,-3.222824229709431e-10,3.222628830457097e-10
0.9473684210526315,0.0,9.343636975245317e-11,2.4474988702394285e-10
1.0,0.0,2.797478915184115e-10,6.337645408471815e-10
0.0,0.05263157894736842,3.370792533985423e-10,2.7825924897584287e-10
0.05263157894736842,0.05263157894736842,7.00126623343067e-11,5.464708685565256e-10
0.10526315789473684,0.05263157894736842,2.3129598236693028e-10,5.970942629218712e-10
0.15789473684210525,0.05263157894736842,-2.4056723280097003e-10,-5.957177529047897e-10
0.21052631578947367,0.05263157894736842,7.906508781019284e-11,2.0443918780088666e-10
0.2631578947368421,0.05263157894736842,2.4789592600882315e-10,4.424381416789913e-10
0.3157894736842105,0.05263157894736842,2.4117530195155723e-10,6.891062165337303e-10
0.3684210526315789,0.05263157894736842,2.7516433576124655e-10,6.263227714242703e-10
0.42105263157894735,0.05263157894736842,1.200237687015715e-10,3.048587493559296e-10
0.47368421052631576,0.05263157894736842,2.2475110661446251e-10,5.19891074635126e-10
0.5263157894736842,0.05263157894736842,1.7798817975034353e-10,4.6345416393478445e-10
0.5789473684210527,0.05263157894736842,9.464318218022072e-12,2.7767455001992403e-11
0.631578947368421,0.05263157894736842,4.2705083913574526e-10,7.470471463655315e-10
0.6842105263157894,0.05263157894736842,3.8720537887115825e-10,6.574084610022624e-10
0.7368421052631579,0.05263157894736842,5.254990886882638e-10,3.8837699722904517e-10
0.7894736842105263,0.05263157894736842,-5.1712967241712704e-11,1.3911166663049812e-10
0.8421052631578947,0.05263157894736842,1.713573727357698e-11,4.416245147353948e-11
0.894736842105263,0.05263157894736842,1.1187439863391546e-10,2.4271573639822464e-10
0.9473684210526315,0.05263157894736842,2.593740777712128e-10,6.690445419899049e-10
1.0,0.05263157894736842,1.1183831638561514e-11,4.195943592577578e-11
