branch,f_ras,C_star,A_star,T_star,R_star,L_star,M_star
down,0.40678,0.562172,0.691503,10.9531,0.627912,1.15251,0.785339
down,0.440678,0.563183,0.692411,10.9712,0.628161,1.15402,0.785437
down,0.474576,0.564189,0.693311,10.9891,0.628408,1.15552,0.785534
down,0.508475,0.56519,0.694203,11.0069,0.628653,1.15701,0.785629
down,0.542373,0.566185,0.695089,11.0246,0.628895,1.15848,0.785722
down,0.576271,0.567176,0.695968,11.0422,0.629134,1.15995,0.785814
down,0.610169,0.568162,0.69684,11.0597,0.629372,1.1614,0.785905
down,0.644068,0.569142,0.697705,11.0771,0.629607,1.16284,0.785994
down,0.677966,0.570118,0.698564,11.0944,0.629839,1.16427,0.786081
down,0.711864,0.571089,0.699416,11.1116,0.63007,1.16569,0.786168
down,0.745763,0.572055,0.700261,11.1287,0.630298,1.1671,0.786253
down,0.779661,0.573016,0.701101,11.1457,0.630524,1.1685,0.786337
down,0.813559,0.573973,0.701933,11.1626,0.630748,1.16989,0.78642
down,0.847458,0.574925,0.70276,11.1795,0.63097,1.17127,0.786501
down,0.881356,0.575872,0.703581,11.1962,0.63119,1.17263,0.786581
down,0.915254,0.576815,0.704395,11.2128,0.631408,1.17399,0.78666
down,0.949153,0.577753,0.705203,11.2294,0.631624,1.17534,0.786738
down,0.983051,0.578686,0.706006,11.2458,0.631838,1.17668,0.786815
down,1.01695,0.579615,0.706803,11.2622,0.63205,1.178,0.78689
down,1.05085,0.58054,0.707593,11.2785,0.63226,1.17932,0.786965
down,1.08475,0.58146,0.708379,11.2947,0.632468,1.18063,0.787039
down,1.11864,0.582376,0.709158,11.3108,0.632674,1.18193,0.787112
down,1.15254,0.583287,0.709932,11.3268,0.632878,1.18322,0.787184
down,1.18644,0.584194,0.710701,11.3428,0.633081,1.1845,0.787255
down,1.22034,0.585097,0.711464,11.3586,0.633282,1.18577,0.787324
down,1.25424,0.585996,0.712221,11.3744,0.633481,1.18704,0.787392
down,1.28814,0.586891,0.712974,11.3901,0.633678,1.18829,0.78746
down,1.32203,0.587781,0.713721,11.4057,0.633874,1.18953,0.787526
down,1.35593,0.588667,0.714463,11.4212,0.634068,1.19077,0.787592
down,1.38983,0.589549,0.715199,11.4367,0.63426,1.192,0.787657
down,1.42373,0.590427,0.715931,11.452,0.634451,1.19322,0.787721
down,1.45763,0.591302,0.716658,11.4673,0.63464,1.19443,0.787784
down,1.49153,0.592172,0.71738,11.4825,0.634827,1.19563,0.787847
down,1.52542,0.593038,0.718097,11.4977,0.635013,1.19683,0.787909
down,1.55932,0.5939,0.718809,11.5127,0.635197,1.19801,0.787971
down,1.59322,0.594758,0.719516,11.5277,0.63538,1.19919,0.788031
down,1.62712,0.595613,0.720219,11.5426,0.635561,1.20036,0.788089
down,1.66102,0.596463,0.720917,11.5574,0.635741,1.20153,0.788148
down,1.69492,0.59731,0.72161,11.5722,0.635919,1.20268,0.788205
down,1.72881,0.598153,0.722299,11.5869,0.636096,1.20383,0.788263
down,1.76271,0.598992,0.722983,11.6015,0.636271,1.20497,0.788319
down,1.79661,0.599828,0.723663,11.616,0.636445,1.20611,0.788375
down,1.83051,0.60066,0.724338,11.6305,0.636618,1.20723,0.78843
down,1.86441,0.601488,0.725009,11.6449,0.636789,1.20835,0.788484
down,1.89831,0.602313,0.725676,11.6592,0.636959,1.20946,0.788538
down,1.9322,0.603134,0.726339,11.6735,0.637127,1.21056,0.788591
down,1.9661,0.603951,0.726997,11.6877,0.637294,1.21166,0.788643
down,2,0.604765,0.727651,11.7018,0.63746,1.21275,0.788694
