f_ras,C,potential
0.3,0.0,0.0
0.3,0.010101010101010102,7.018736610231334e-08
0.3,0.020202020202020204,1.413722039314754e-07
0.3,0.030303030303030304,2.1356160718481885e-07
0.3,0.04040404040404041,2.867562074684327e-07
0.3,0.05050505050505051,3.6096173124293853e-07
0.3,0.06060606060606061,4.3618644183613894e-07
0.3,0.07070707070707072,5.124310424793484e-07
0.3,0.08080808080808081,5.896983314318763e-07
0.3,0.09090909090909091,6.679924321671006e-07
0.3,0.10101010101010102,7.473166624241326e-07
0.3,0.11111111111111112,8.276735606431792e-07
0.3,0.12121212121212122,9.090688481772053e-07
0.3,0.13131313131313133,9.915028636692556e-07
0.3,0.14141414141414144,1.0749793260448204e-06
0.3,0.15151515151515152,1.1595029200507378e-06
0.3,0.16161616161616163,1.2450767186635758e-06
0.3,0.17171717171717174,1.3317042288129293e-06
0.3,0.18181818181818182,1.4193858492311218e-06
0.3,0.19191919191919193,1.5081398208528705e-06
0.3,0.20202020202020204,1.5979480566746893e-06
0.3,0.21212121212121213,1.6888209242223694e-06
0.3,0.22222222222222224,1.7807568225516461e-06
0.3,0.23232323232323235,1.8737667107830552e-06
0.3,0.24242424242424243,1.9678467276105403e-06
0.3,0.25252525252525254,2.06299932864249e-06
0.3,0.26262626262626265,2.1592317528461855e-06
0.3,0.27272727272727276,2.2565438610954027e-06
0.3,0.2828282828282829,2.3549325284053725e-06
0.3,0.29292929292929293,2.454404204434312e-06
0.3,0.30303030303030304,2.554962742113034e-06
0.3,0.31313131313131315,2.6566054574500404e-06
0.3,0.32323232323232326,2.7593392374316826e-06
0.3,0.33333333333333337,2.863161008254684e-06
0.3,0.3434343434343435,2.9680728981579176e-06
0.3,0.3535353535353536,3.074087572055885e-06
0.3,0.36363636363636365,3.1811966252030406e-06
0.3,0.37373737373737376,3.2893973100109644e-06
0.3,0.38383838383838387,3.3986982062557144e-06
0.3,0.393939393939394,3.509092841344066e-06
0.3,0.4040404040404041,3.6205894759340293e-06
0.3,0.4141414141414142,3.733186112859354e-06
0.3,0.42424242424242425,3.846887005236417e-06
0.3,0.43434343434343436,3.961694621785242e-06
0.3,0.4444444444444445,4.07760191381157e-06
0.3,0.4545454545454546,4.1946220797094475e-06
0.3,0.4646464646464647,4.312740228312361e-06
0.3,0.4747474747474748,4.431970521806396e-06
0.3,0.48484848484848486,4.552303831824928e-06
0.3,0.494949494949495,4.673745093231083e-06
0.3,0.5050505050505051,4.796291033778189e-06
0.3,0.5151515151515152,4.919954456621457e-06
0.3,0.5252525252525253,5.044726256554258e-06
0.3,0.5353535353535354,5.170614145229459e-06
0.3,0.5454545454545455,5.2976050747177404e-06
0.3,0.5555555555555556,5.425714453642201e-06
0.3,0.5656565656565657,5.55493339024283e-06
0.3,0.5757575757575758,5.685259095666441e-06
0.3,0.5858585858585859,5.816688449507798e-06
0.3,0.595959595959596,5.949243987364236e-06
0.3,0.6060606060606061,6.082896793318605e-06
0.3,0.6161616161616162,6.217667707306113e-06
0.3,0.6262626262626263,6.3535539251875425e-06
0.3,0.6363636363636365,6.490550811940871e-06
0.3,0.6464646464646465,6.62865889214984e-06
0.3,0.6565656565656566,6.767875602471325e-06
0.3,0.6666666666666667,6.9082063287337544e-06
0.3,0.6767676767676768,7.049650487091442e-06
0.3,0.686868686868687,7.192204409459828e-06
0.3,0.696969696969697,7.335868703849463e-06
0.3,0.7070707070707072,7.480636187600721e-06
0.3,0.7171717171717172,7.626518314564794e-06
0.3,0.7272727272727273,7.773509058317584e-06
0.3,0.7373737373737375,7.92160195729878e-06
0.3,0.7474747474747475,8.070789714522763e-06
0.3,0.7575757575757577,8.221097898770635e-06
0.3,0.7676767676767677,8.372517595539346e-06
0.3,0.7777777777777778,8.525036816987625e-06
0.3,0.787878787878788,8.678647872542478e-06
0.3,0.797979797979798,8.833362740486184e-06
0.3,0.8080808080808082,8.989195481789987e-06
0.3,0.8181818181818182,9.146136973914323e-06
0.3,0.8282828282828284,9.304174098288287e-06
0.3,0.8383838383838385,9.46331348063724e-06
0.3,0.8484848484848485,9.6235471856616e-06
0.3,0.8585858585858587,9.78488387520961e-06
0.3,0.8686868686868687,9.94731993662396e-06
0.3,0.8787878787878789,1.0110849226820223e-05
0.3,0.888888888888889,1.0275473859153272e-05
0.3,0.8989898989898991,1.0441196551082644e-05
0.3,0.9090909090909092,1.0608009419381366e-05
0.3,0.9191919191919192,1.0775909420633122e-05
0.3,0.9292929292929294,1.0944909072331268e-05
0.3,0.9393939393939394,1.111499368244629e-05
0.3,0.9494949494949496,1.128616833250052e-05
0.3,0.9595959595959597,1.1458428980940523e-05
0.3,0.9696969696969697,1.1631771765435953e-05
0.3,0.9797979797979799,1.1806186778931556e-05
0.3,0.98989898989899,1.1981694795779266e-05
0.3,1.0,1.2158290203851599e-05
0.5,0.0,0.0
0.5,0.010101010101010102,2.4973703038215712e-08
0.5,0.020202020202020204,5.018437277073429e-08
0.5,0.030303030303030304,7.562628004190976e-08
0.5,0.04040404040404041,1.0130355878960308e-07
0.5,0.05050505050505051,1.2721716426428334e-07
0.5,0.06060606060606061,1.5335738668078601e-07
0.5,0.07070707070707072,1.797231941709176e-07
0.5,0.08080808080808081,2.063907919204985e-07
0.5,0.09090909090909091,2.332823277547657e-07
0.5,0.10101010101010102,2.602214129732161e-07
0.5,0.11111111111111112,2.874962050097907e-07
0.5,0.12121212121212122,3.1493768565877326e-07
0.5,0.13131313131313133,3.4264918707556617e-07
0.5,0.14141414141414144,3.705047654458693e-07
0.5,0.15151515151515152,3.9857042561997736e-07
0.5,0.16161616161616163,4.2687070428258345e-07
0.5,0.17171717171717174,4.55427433123903e-07
0.5,0.18181818181818182,4.841872705658677e-07
0.5,0.19191919191919193,5.131582189323094e-07
0.5,0.20202020202020204,5.423325892256414e-07
0.5,0.21212121212121213,5.716929832810241e-07
0.5,0.22222222222222224,6.01259593210189e-07
0.5,0.23232323232323235,6.310319992815466e-07
0.5,0.24242424242424243,6.610082945614508e-07
0.5,0.25252525252525254,6.910999588553607e-07
0.5,0.26262626262626265,7.215441107002025e-07
0.5,0.27272727272727276,7.523147181920711e-07
0.5,0.2828282828282829,7.830591564689966e-07
0.5,0.29292929292929293,8.139194680523825e-07
0.5,0.30303030303030304,8.450408329617505e-07
0.5,0.31313131313131315,8.763489988733945e-07
0.5,0.32323232323232326,9.078437363154296e-07
0.5,0.33333333333333337,9.395200730575965e-07
0.5,0.3434343434343435,9.713737646668072e-07
0.5,0.3535353535353536,1.0030707347435212e-06
0.5,0.36363636363636365,1.0353009939177409e-06
0.5,0.37373737373737376,1.0676902052834372e-06
0.5,0.38383838383838387,1.0999916449882626e-06
0.5,0.393939393939394,1.1327309558398365e-06
0.5,0.4040404040404041,1.165621886035875e-06
0.5,0.4141414141414142,1.19901715688645e-06
0.5,0.42424242424242425,1.2322685893009132e-06
0.5,0.43434343434343436,1.2656860139566534e-06
0.5,0.4444444444444445,1.2991907207232253e-06
0.5,0.4545454545454546,1.3329515319461822e-06
0.5,0.4646464646464647,1.3670922186705646e-06
0.5,0.4747474747474748,1.4011738726028244e-06
0.5,0.48484848484848486,1.4354087164133749e-06
0.5,0.494949494949495,1.4698068379048635e-06
0.5,0.5050505050505051,1.504368681200143e-06
0.5,0.5151515151515152,1.539084577401657e-06
0.5,0.5252525252525253,1.5739590487191716e-06
0.5,0.5353535353535354,1.6089874456597756e-06
0.5,0.5454545454545455,1.6441701566669555e-06
0.5,0.5555555555555556,1.6795222005764926e-06
0.5,0.5656565656565657,1.715007657852804e-06
0.5,0.5757575757575758,1.7506620508362892e-06
0.5,0.5858585858585859,1.7864521467781844e-06
0.5,0.595959595959596,1.822280332715884e-06
0.5,0.6060606060606061,1.8583669989076189e-06
0.5,0.6161616161616162,1.8945729942216951e-06
0.5,0.6262626262626263,1.9309748248781017e-06
0.5,0.6363636363636365,1.9675124179739586e-06
0.5,0.6464646464646465,2.004183614881331e-06
0.5,0.6565656565656566,2.0410204446709726e-06
0.5,0.6666666666666667,2.0777533439735027e-06
0.5,0.6767676767676768,2.1148381479621194e-06
0.5,0.686868686868687,2.152141401477442e-06
0.5,0.696969696969697,2.1895040211702825e-06
0.5,0.7070707070707072,2.2269805417249294e-06
0.5,0.7171717171717172,2.264623409567933e-06
0.5,0.7272727272727273,2.3023650725973345e-06
0.5,0.7373737373737375,2.340266104346977e-06
0.5,0.7474747474747475,2.378264937607617e-06
0.5,0.7575757575757577,2.4164275254595133e-06
0.5,0.7676767676767677,2.4547221427178965e-06
0.5,0.7777777777777778,2.4931527845943363e-06
0.5,0.787878787878788,2.5317318727081215e-06
0.5,0.797979797979798,2.5704269486293683e-06
0.5,0.8080808080808082,2.609279861544371e-06
0.5,0.8181818181818182,2.648217730752776e-06
0.5,0.8282828282828284,2.6872797359365304e-06
0.5,0.8383838383838385,2.726479655590252e-06
0.5,0.8484848484848485,2.765796488050009e-06
0.5,0.8585858585858587,2.8052219251558063e-06
0.5,0.8686868686868687,2.8447907670535726e-06
0.5,0.8787878787878789,2.8844750285074067e-06
0.5,0.888888888888889,2.9243229205349778e-06
0.5,0.8989898989898991,2.9642412359939454e-06
0.5,0.9090909090909092,3.0042780297440634e-06
0.5,0.9191919191919192,3.0444810215349207e-06
0.5,0.9292929292929294,3.0847623750828166e-06
0.5,0.9393939393939394,3.125152714233522e-06
0.5,0.9494949494949496,3.165578808064028e-06
0.5,0.9595959595959597,3.2062117012880804e-06
0.5,0.9696969696969697,3.2467920651093074e-06
0.5,0.9797979797979799,3.2876325773350367e-06
0.5,0.98989898989899,3.328622893373218e-06
0.5,1.0,3.3696795875500753e-06
0.7,0.0,1.0426405642340112e-10
0.7,0.010101010101010102,7.89511766849915e-11
0.7,0.020202020202020204,6.858911755057133e-11
0.7,0.030303030303030304,5.872536015272491e-11
0.7,0.04040404040404041,5.05407590077541e-11
0.7,0.05050505050505051,4.368015489151872e-11
0.7,0.06060606060606061,3.7285011217638745e-11
0.7,0.07070707070707072,3.126236306864408e-11
0.7,0.08080808080808081,8.823510945457215e-12
0.7,0.09090909090909091,4.56689231885899e-12
0.7,0.10101010101010102,2.9912402521255935e-12
0.7,0.11111111111111112,0.0
0.7,0.12121212121212122,1.7504908858012795e-12
0.7,0.13131313131313133,9.318516777516426e-13
0.7,0.14141414141414144,1.5734574137443165e-12
0.7,0.15151515151515152,3.8372918759468936e-12
0.7,0.16161616161616163,5.117887034481275e-12
0.7,0.17171717171717174,9.595669937646627e-12
0.7,0.18181818181818182,1.0785397266646331e-11
0.7,0.19191919191919193,1.6149422988561798e-11
0.7,0.20202020202020204,2.487516253585849e-11
0.7,0.21212121212121213,3.2939132902735465e-11
0.7,0.22222222222222224,4.201254159378703e-11
0.7,0.23232323232323235,4.587063389060337e-11
0.7,0.24242424242424243,5.3954073532157636e-11
0.7,0.25252525252525254,6.358204086688426e-11
0.7,0.26262626262626265,6.142273109885664e-11
0.7,0.27272727272727276,7.640493737132106e-11
0.7,0.2828282828282829,8.860029320761855e-11
0.7,0.29292929292929293,1.0361526900230771e-10
0.7,0.30303030303030304,1.1702062775577182e-10
0.7,0.31313131313131315,1.3028665351964546e-10
0.7,0.32323232323232326,1.3755147189614848e-10
0.7,0.33333333333333337,1.5285283028075848e-10
0.7,0.3434343434343435,1.679991174233259e-10
0.7,0.3535353535353536,1.7958485428255134e-10
0.7,0.36363636363636365,1.9398965150290648e-10
0.7,0.37373737373737376,2.105375940926258e-10
0.7,0.38383838383838387,2.2447254492895968e-10
0.7,0.393939393939394,2.422429753984043e-10
0.7,0.4040404040404041,2.5922779186975096e-10
0.7,0.4141414141414142,2.784729854118003e-10
0.7,0.42424242424242425,2.823402690095357e-10
0.7,0.43434343434343436,3.0048025123069426e-10
0.7,0.4444444444444445,3.2110199684372753e-10
0.7,0.4545454545454546,3.4147663148310203e-10
0.7,0.4646464646464647,3.6127953154360437e-10
0.7,0.4747474747474748,3.865710052849493e-10
0.7,0.48484848484848486,4.062997727262163e-10
0.7,0.494949494949495,4.2636019630662355e-10
0.7,0.5050505050505051,4.4855274825539085e-10
0.7,0.5151515151515152,4.72142344300727e-10
0.7,0.5252525252525253,4.861223006627419e-10
0.7,0.5353535353535354,5.107364531298231e-10
0.7,0.5454545454545455,5.357374925279262e-10
0.7,0.5555555555555556,5.607452897077931e-10
0.7,0.5656565656565657,5.850553644242411e-10
0.7,0.5757575757575758,6.105063458139774e-10
0.7,0.5858585858585859,6.283454463810885e-10
0.7,0.595959595959596,6.543891792079847e-10
0.7,0.6060606060606061,6.818165448615994e-10
0.7,0.6161616161616162,7.042381571276575e-10
0.7,0.6262626262626263,7.321191980380056e-10
0.7,0.6363636363636365,7.572801970237719e-10
0.7,0.6464646464646465,7.846545130812452e-10
0.7,0.6565656565656566,8.015968068893113e-10
0.7,0.6666666666666667,8.142662459001222e-10
0.7,0.6767676767676768,8.552311238545654e-10
0.7,0.686868686868687,9.131573970602858e-10
0.7,0.696969696969697,9.349769544445253e-10
0.7,0.7070707070707072,9.564759837129314e-10
0.7,0.7171717171717172,9.837600240598165e-10
0.7,0.7272727272727273,1.0061773501921368e-09
0.7,0.7373737373737375,1.0390466052091277e-09
0.7,0.7474747474747475,1.0630582755267415e-09
0.7,0.7575757575757577,1.0923035069036288e-09
0.7,0.7676767676767677,1.1200646313915059e-09
0.7,0.7777777777777778,1.1494449522388671e-09
0.7,0.787878787878788,1.173444763355991e-09
0.7,0.797979797979798,1.2096862849242835e-09
0.7,0.8080808080808082,1.2449121206406542e-09
0.7,0.8181818181818182,1.2717314889156751e-09
0.7,0.8282828282828284,1.3160313983354749e-09
0.7,0.8383838383838385,1.35140337640932e-09
0.7,0.8484848484848485,1.3851313956644825e-09
0.7,0.8585858585858587,1.4301829339220152e-09
0.7,0.8686868686868687,1.4691741414910847e-09
0.7,0.8787878787878789,1.4982983013649805e-09
0.7,0.888888888888889,1.5253384672065391e-09
0.7,0.8989898989898991,1.5643359234247941e-09
0.7,0.9090909090909092,1.59211727527903e-09
0.7,0.9191919191919192,1.6245381280379352e-09
0.7,0.9292929292929294,1.6643309054164106e-09
