seed_label,direction,f_ras,C,A,T,R,L,M
default,down,0.9183673469387755,0.5921858922760094,0.4875816728372636,0.3605802237459968,0.3415007984014735,0.7313725092270321,0.4457754657124875
default,down,0.8979591836734694,0.5894622216509648,0.4849344991941857,0.35866927915411323,0.3400592174939898,0.7274017487994063,0.4415544790763544
default,down,0.8775510204081632,0.5866033168922206,0.48222122028860404,0.35670422465912516,0.33856151528900286,0.7233318304374101,0.43711504990438577
default,down,0.8571428571428572,0.5835950933249914,0.4794361103399084,0.35468014804943804,0.33700247674350603,0.7191541653447941,0.43243682730304095
default,down,0.8367346938775511,0.5804211073857983,0.47657251003821915,0.35259133036290363,0.3353760324946539,0.7148587650441529,0.4274963068671045
default,down,0.8163265306122449,0.5770619792280862,0.4736225993301222,0.35043104901031824,0.3336750497228403,0.7104338990076491,0.42226608836842505
default,down,0.7959183673469388,0.5734946279532467,0.4705770963606015,0.34819131737991305,0.3318910557357399,0.7058656445799812,0.4167139015930687
default,down,0.7755102040816326,0.5696912280848869,0.4674248470721363,0.3458625294294899,0.3300138601124755,0.7011372706498092,0.41080128176136566
default,down,0.7551020408163265,0.5656177606428064,0.4641522555425959,0.34343296645388344,0.32803103002605505,0.6962283832608497,0.40448174174792606
default,down,0.7346938775510204,0.5612319470208306,0.46074247198645246,0.3408880939808962,0.3259271417309122,0.6911137079642388,0.3976981805776656
default,down,0.7142857142857143,0.5564802078675527,0.45717419817774746,0.3382095270298719,0.3236826778424115,0.6857612969179235,0.390379088401103
default,down,0.6938775510204083,0.5512930356793007,0.45341987010140394,0.33537345640711774,0.3212723491479269,0.6801298050980465,0.3824328092373812
default,down,0.6734693877551021,0.5455776073305011,0.4494427581723925,0.33234813625642323,0.3186624119172511,0.6741641372144241,0.3737384241911573
default,down,0.653061224489796,0.5392053781369002,0.4451920982329811,0.3290896665644106,0.31580616093398955,0.6677881470256389,0.36413054026677316
default,down,0.6326530612244898,0.5319896971286303,0.4405943086770114,0.32553438409083413,0.31263578852623586,0.660891462777203,0.35337199593367474
default,down,0.6122448979591837,0.5236415173028862,0.43553561626643716,0.32158380912569867,0.3090462596645297,0.6533034241714302,0.34110017411537913
default,down,0.5918367346938775,0.5136696325092239,0.4298229248905079,0.3170707412004991,0.3048589471822768,0.6447343854139314,0.3267068160292373
default,down,0.5714285714285714,0.5011064805538215,0.42307626645742297,0.31166607761375775,0.299721544424631,0.63461440313144,0.3090098418874963
default,down,0.5510204081632654,0.48342456277301543,0.4143037585996464,0.3045105443480027,0.2927118211276986,0.6214556390978563,0.28496553145941933
default,down,0.5306122448979592,0.44197668332008194,0.39617954050789894,0.28926968385712765,0.2770042178970405,0.5943154263547752,0.23267931981468848
default,down,0.5102040816326531,0.10464629875018228,0.22461414018837247,0.15012361500095525,0.09709287594473696,0.33692121019231563,0.0013030910359348642
default,down,0.4897959183673469,0.09828794514862925,0.21616539751490352,0.14424654720074231,0.08951921795373396,0.3242480962242402,0.0008581465481627054
default,down,0.4693877551020409,0.09237711045322576,0.20782973293271967,0.13848258941329014,0.08227031500020789,0.3117445988778078,0.0005567281442586872
default,down,0.44897959183673475,0.08681573638918252,0.1995534207159018,0.132788891544981,0.07530758982820276,0.2993301310670374,0.0003544871053936957
default,down,0.4285714285714286,0.08153555993712444,0.19129826641228018,0.1271351282298942,0.0686108795035648,0.28694739962113863,0.00022075774175161786
default,down,0.40816326530612246,0.07648812910928961,0.1830365491285741,0.12149939378723146,0.06217248340685644,0.2745548236986898,0.0001339951482075935
default,down,0.3877551020408164,0.07163861316369526,0.17474787165402808,0.11586564784437832,0.05599330920573711,0.26212180748428454,7.898957535685421e-05
default,down,0.3673469387755103,0.06696171266345352,0.1664170510596283,0.11022201017043584,0.05008017448659803,0.24962557658999052,4.5050369470580945e-05
default,down,0.34693877551020413,0.0624388121945288,0.15803261159155765,0.10455954946717179,0.044443792534756034,0.2370489173725521,2.4753821156957706e-05
